backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,none,25,1,0.172456,0.517228,1669
OF,reference,CG,none,25,1,0.172456,0.511969,1669
OF,reference,CG,none,25,1,0.172456,0.516605,1669
OF,reference,CG,none,25,1,0.172456,0.51028,1669
OF,reference,CG,none,25,1,0.172456,0.511652,1669
OF,reference,CG,none,25,1,0.172456,0.517635,1669
OF,reference,CG,none,25,1,0.172456,0.512668,1669
OF,reference,CG,none,25,1,0.172456,0.511461,1669
OF,reference,CG,none,25,1,0.172456,0.520565,1669
OF,reference,CG,none,25,1,0.172456,0.518511,1669
OF,reference,CG,none,25,1,0.172456,0.517076,1669
OF,reference,CG,none,25,1,0.172456,0.505103,1669
OF,reference,CG,none,25,1,0.172456,0.508278,1669
OF,reference,CG,none,25,1,0.172456,0.516723,1669
OF,reference,CG,none,25,1,0.172456,0.521562,1669
OF,reference,CG,none,25,1,0.172456,0.512644,1669
OF,reference,CG,none,25,1,0.172456,0.511511,1669
OF,reference,CG,none,25,1,0.172456,0.510853,1669
OF,reference,CG,none,25,1,0.172456,0.510009,1669
OF,reference,CG,none,25,1,0.172456,0.513672,1669
OF,reference,CG,none,25,1,0.172456,0.519872,1669
OF,reference,CG,none,25,1,0.172456,0.520644,1669
OF,reference,CG,none,25,1,0.172456,0.510764,1669
OF,reference,CG,none,25,1,0.172456,0.511468,1669
OF,reference,CG,none,25,1,0.172456,0.505548,1669
OF,reference,CG,none,25,1,0.172456,0.509977,1669
OF,reference,CG,none,25,1,0.172456,0.511217,1669
OF,reference,CG,none,25,1,0.172456,0.510993,1669
OF,reference,CG,none,25,1,0.172456,0.510418,1669
OF,reference,CG,none,25,1,0.172456,0.512261,1669
OF,reference,CG,none,25,1,0.172456,0.51084,1669
OF,reference,CG,none,25,1,0.172456,0.511723,1669
OF,reference,CG,none,25,1,0.172456,0.511142,1669
OF,reference,CG,none,25,1,0.172456,0.509147,1669
OF,reference,CG,none,25,1,0.172456,0.513393,1669
OF,reference,CG,none,25,1,0.172456,0.509464,1669
OF,reference,CG,none,25,1,0.172456,0.510081,1669
OF,reference,CG,none,25,1,0.172456,0.517938,1669
OF,reference,CG,none,25,1,0.172456,0.520188,1669
OF,reference,CG,none,25,1,0.172456,0.512243,1669
OF,reference,CG,none,25,1,0.172456,0.506123,1669
OF,reference,CG,none,25,1,0.172456,0.510209,1669
OF,reference,CG,none,25,1,0.172456,0.515817,1669
OF,reference,CG,none,25,1,0.172456,0.515783,1669
OF,reference,CG,none,25,1,0.172456,0.508404,1669
OF,reference,CG,none,25,1,0.172456,0.506125,1669
OF,reference,CG,none,25,1,0.172456,0.511019,1669
OF,reference,CG,none,25,1,0.172456,0.506638,1669
OF,reference,CG,none,25,1,0.172456,0.511641,1669
OF,reference,CG,none,25,1,0.172456,0.514795,1669
OF,reference,CG,none,25,1,0.172456,0.511058,1669
OF,reference,CG,none,25,1,0.172456,0.507387,1669
OF,reference,CG,none,25,1,0.172456,0.511907,1669
OF,reference,CG,none,25,1,0.172456,0.514769,1669
OF,reference,CG,none,25,1,0.172456,0.510217,1669
OF,reference,CG,none,25,1,0.172456,0.506876,1669
OF,reference,CG,none,25,1,0.172456,0.508643,1669
OF,reference,CG,none,25,1,0.172456,0.510126,1669
OF,reference,CG,none,25,1,0.172456,0.507868,1669
OF,reference,CG,none,25,1,0.172456,0.510009,1669
OF,reference,CG,none,25,1,0.172456,0.512214,1669
OF,reference,CG,none,25,1,0.172456,0.51041,1669
OF,reference,CG,none,25,1,0.172456,0.509356,1669
OF,reference,CG,none,25,1,0.172456,0.51516,1669
OF,reference,CG,none,25,1,0.172456,0.508986,1669
OF,reference,CG,none,25,1,0.172456,0.511857,1669
OF,reference,CG,none,25,1,0.172456,0.512682,1669
OF,reference,CG,none,25,1,0.172456,0.511737,1669
OF,reference,CG,none,25,1,0.172456,0.511518,1669
OF,reference,CG,none,25,1,0.172456,0.521432,1669
OF,reference,CG,none,25,1,0.172456,0.522507,1669
OF,reference,CG,none,25,1,0.172456,0.513147,1669
OF,reference,CG,none,25,1,0.172456,0.507553,1669
OF,reference,CG,none,25,1,0.172456,0.510367,1669
OF,reference,CG,none,25,1,0.172456,0.50973,1669
OF,reference,CG,none,25,1,0.172456,0.50988,1669
OF,reference,CG,none,25,1,0.172456,0.511312,1669
OF,reference,CG,none,25,1,0.172456,0.50901,1669
OF,reference,CG,none,25,1,0.172456,0.513808,1669
OF,reference,CG,none,25,1,0.172456,0.502617,1669
OF,reference,CG,none,25,1,0.172456,0.508905,1669
OF,reference,CG,none,25,1,0.172456,0.5059,1669
OF,reference,CG,none,25,1,0.172456,0.507311,1669
OF,reference,CG,none,25,1,0.172456,0.51563,1669
