backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561847,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.56728,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.564801,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.565759,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.563709,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.562468,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.5636,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.562188,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.564425,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.565488,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.565239,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.568803,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561082,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.55917,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.56158,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.568693,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.562541,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561935,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.559823,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.562343,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.568913,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.55906,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.572514,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561986,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.560927,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.560627,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561819,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.577258,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.613513,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.560629,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.562065,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.563376,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561626,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.559739,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561432,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561344,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.568389,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.565401,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.561217,1894
OF,reference,CG,BiCGStab,none,25,1,0.161789,0.564211,1894
