backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.947209,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.902979,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.988876,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.948113,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.92945,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.928362,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.916752,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.911454,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.985786,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.971197,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.853594,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.82875,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.817197,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.816235,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.808826,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.82851,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.827152,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.832556,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.846856,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.826266,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.8559,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.844634,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.895788,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.904409,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.858802,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.855264,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.812772,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.831589,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.822846,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.819473,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.816884,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.826471,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.173846,1.834865,1931
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.027366,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.098336,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,1.995169,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.001692,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.011356,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.003086,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.055726,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.100318,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.051736,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.023786,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.012178,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,1.986571,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,1.997394,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.015508,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.044004,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.041327,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.041795,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.057545,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.021057,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.016432,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.008,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.002676,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.159903,2.03005,1591
