backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.703994,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.633071,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.642198,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.636558,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.629174,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.633328,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.638433,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.631189,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.628582,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.634694,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.633478,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.650762,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.641662,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.637378,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.635417,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.630587,988
GKO,omp,BiCGStab,BJ,25,1,0.171283,3.651703,988
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.337893,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.341182,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.315264,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.288896,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.244158,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.312458,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.273897,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.316384,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.34907,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.3306,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.309936,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.303253,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.246425,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.29293,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.304232,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.361265,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.317171,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.337037,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.350163,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.221681,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.250077,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.347251,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.261854,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.324202,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.230406,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.261991,984
GKO,omp,BiCGStab,BJ,25,2,0.173531,2.322764,984
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.572483,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.575986,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.584374,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.579833,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.570922,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.567637,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.575553,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.54562,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.568369,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.582471,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.558609,986
GKO,omp,BiCGStab,BJ,25,4,0.171868,1.580299,986
