backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,none,25,1,0.164292,1.417179,1668
GKO,omp,CG,none,25,1,0.164292,1.393472,1668
GKO,omp,CG,none,25,1,0.164292,1.393462,1668
GKO,omp,CG,none,25,1,0.164292,1.39022,1668
GKO,omp,CG,none,25,1,0.164292,1.404271,1668
GKO,omp,CG,none,25,1,0.164292,1.391279,1668
GKO,omp,CG,none,25,1,0.164292,1.393119,1668
GKO,omp,CG,none,25,1,0.164292,1.387118,1668
GKO,omp,CG,none,25,1,0.164292,1.397045,1668
GKO,omp,CG,none,25,1,0.164292,1.396873,1668
GKO,omp,CG,none,25,1,0.164292,1.400215,1668
GKO,omp,CG,none,25,1,0.164292,1.387547,1668
GKO,omp,CG,none,25,1,0.164292,1.394933,1668
GKO,omp,CG,none,25,1,0.164292,1.383768,1668
GKO,omp,CG,none,25,1,0.164292,1.388098,1668
GKO,omp,CG,none,25,1,0.164292,1.395859,1668
GKO,omp,CG,none,25,1,0.164292,1.396844,1668
GKO,omp,CG,none,25,1,0.164292,1.388781,1668
GKO,omp,CG,none,25,1,0.164292,1.401905,1668
GKO,omp,CG,none,25,1,0.164292,1.414794,1668
GKO,omp,CG,none,25,1,0.164292,1.390973,1668
GKO,omp,CG,none,25,1,0.164292,1.39176,1668
GKO,omp,CG,none,25,1,0.164292,1.390447,1668
GKO,omp,CG,none,25,1,0.164292,1.398331,1668
GKO,omp,CG,none,25,1,0.164292,1.385503,1668
GKO,omp,CG,none,25,1,0.164292,1.388572,1668
GKO,omp,CG,none,25,1,0.164292,1.381791,1668
GKO,omp,CG,none,25,1,0.164292,1.387747,1668
GKO,omp,CG,none,25,1,0.164292,1.394078,1668
GKO,omp,CG,none,25,1,0.164292,1.384289,1668
GKO,omp,CG,none,25,1,0.164292,1.39227,1668
GKO,omp,CG,none,25,1,0.164292,1.389882,1668
GKO,omp,CG,none,25,1,0.164292,1.398199,1668
GKO,omp,CG,none,25,1,0.164292,1.40727,1668
GKO,omp,CG,none,25,1,0.164292,1.398336,1668
GKO,omp,CG,none,25,1,0.164292,1.382207,1668
GKO,omp,CG,none,25,1,0.164292,1.388241,1668
GKO,omp,CG,none,25,1,0.164292,1.402948,1668
GKO,omp,CG,none,25,1,0.164292,1.393791,1668
GKO,omp,CG,none,25,1,0.164292,1.370551,1668
GKO,omp,CG,none,25,1,0.164292,1.389926,1668
GKO,omp,CG,none,25,1,0.164292,1.383855,1668
GKO,omp,CG,none,25,1,0.164292,1.381818,1668
GKO,omp,CG,none,25,1,0.164292,1.383337,1668
GKO,omp,CG,none,25,2,0.161962,1.146005,1668
GKO,omp,CG,none,25,2,0.161962,1.123667,1668
GKO,omp,CG,none,25,2,0.161962,1.054418,1668
GKO,omp,CG,none,25,2,0.161962,1.168228,1668
GKO,omp,CG,none,25,2,0.161962,1.166281,1668
GKO,omp,CG,none,25,2,0.161962,1.121518,1668
GKO,omp,CG,none,25,2,0.161962,1.05087,1668
GKO,omp,CG,none,25,2,0.161962,1.172769,1668
GKO,omp,CG,none,25,2,0.161962,1.153603,1668
GKO,omp,CG,none,25,2,0.161962,1.175835,1668
GKO,omp,CG,none,25,2,0.161962,1.1232,1668
GKO,omp,CG,none,25,2,0.161962,1.126634,1668
GKO,omp,CG,none,25,2,0.161962,1.16318,1668
GKO,omp,CG,none,25,2,0.161962,1.125231,1668
GKO,omp,CG,none,25,2,0.161962,1.062324,1668
GKO,omp,CG,none,25,2,0.161962,1.16407,1668
GKO,omp,CG,none,25,2,0.161962,1.161433,1668
GKO,omp,CG,none,25,2,0.161962,1.121749,1668
GKO,omp,CG,none,25,2,0.161962,1.12374,1668
GKO,omp,CG,none,25,2,0.161962,1.15894,1668
GKO,omp,CG,none,25,2,0.161962,1.044742,1668
GKO,omp,CG,none,25,2,0.161962,1.162367,1668
GKO,omp,CG,none,25,2,0.161962,1.118023,1668
GKO,omp,CG,none,25,2,0.161962,1.051597,1668
GKO,omp,CG,none,25,2,0.161962,1.052719,1668
GKO,omp,CG,none,25,2,0.161962,1.114536,1668
GKO,omp,CG,none,25,2,0.161962,1.160402,1668
GKO,omp,CG,none,25,2,0.161962,1.050912,1668
GKO,omp,CG,none,25,2,0.161962,1.113918,1668
GKO,omp,CG,none,25,2,0.161962,1.1245,1668
GKO,omp,CG,none,25,2,0.161962,1.109958,1668
GKO,omp,CG,none,25,2,0.161962,1.113322,1668
GKO,omp,CG,none,25,2,0.161962,1.043753,1668
GKO,omp,CG,none,25,2,0.161962,1.173707,1668
GKO,omp,CG,none,25,2,0.161962,1.140665,1668
GKO,omp,CG,none,25,2,0.161962,1.120489,1668
GKO,omp,CG,none,25,2,0.161962,1.113935,1668
GKO,omp,CG,none,25,2,0.161962,1.117838,1668
GKO,omp,CG,none,25,2,0.161962,1.113654,1668
GKO,omp,CG,none,25,2,0.161962,1.138136,1668
GKO,omp,CG,none,25,2,0.161962,1.053778,1668
GKO,omp,CG,none,25,2,0.161962,1.177705,1668
GKO,omp,CG,none,25,2,0.161962,1.084182,1668
GKO,omp,CG,none,25,2,0.161962,1.157997,1668
GKO,omp,CG,none,25,2,0.161962,1.178573,1668
GKO,omp,CG,none,25,2,0.161962,1.049462,1668
GKO,omp,CG,none,25,2,0.161962,1.162132,1668
GKO,omp,CG,none,25,2,0.161962,1.101502,1668
GKO,omp,CG,none,25,2,0.161962,1.148421,1668
GKO,omp,CG,none,25,2,0.161962,1.057054,1668
GKO,omp,CG,none,25,2,0.161962,1.05395,1668
GKO,omp,CG,none,25,2,0.161962,1.13779,1668
GKO,omp,CG,none,25,2,0.161962,1.104999,1668
GKO,omp,CG,none,25,2,0.161962,1.056013,1668
GKO,omp,CG,none,25,4,0.161278,0.900072,1668
GKO,omp,CG,none,25,4,0.161278,0.900878,1668
GKO,omp,CG,none,25,4,0.161278,0.904582,1668
GKO,omp,CG,none,25,4,0.161278,0.953859,1668
GKO,omp,CG,none,25,4,0.161278,0.903767,1668
GKO,omp,CG,none,25,4,0.161278,0.866945,1668
GKO,omp,CG,none,25,4,0.161278,0.908531,1668
GKO,omp,CG,none,25,4,0.161278,0.910686,1668
GKO,omp,CG,none,25,4,0.161278,0.915083,1668
GKO,omp,CG,none,25,4,0.161278,0.918961,1668
GKO,omp,CG,none,25,4,0.161278,0.910422,1668
GKO,omp,CG,none,25,4,0.161278,0.917692,1668
GKO,omp,CG,none,25,4,0.161278,0.932268,1668
GKO,omp,CG,none,25,4,0.161278,0.903699,1668
GKO,omp,CG,none,25,4,0.161278,0.902309,1668
GKO,omp,CG,none,25,4,0.161278,0.886878,1668
GKO,omp,CG,none,25,4,0.161278,0.876835,1668
GKO,omp,CG,none,25,4,0.161278,0.897233,1668
GKO,omp,CG,none,25,4,0.161278,0.90464,1668
GKO,omp,CG,none,25,4,0.161278,0.904477,1668
GKO,omp,CG,none,25,4,0.161278,0.903452,1668
GKO,omp,CG,none,25,4,0.161278,0.921366,1668
GKO,omp,CG,none,25,4,0.161278,0.917684,1668
GKO,omp,CG,none,25,4,0.161278,0.904542,1668
GKO,omp,CG,none,25,4,0.161278,0.905702,1668
GKO,omp,CG,none,25,4,0.161278,0.887786,1668
GKO,omp,CG,none,25,4,0.161278,0.916768,1668
GKO,omp,CG,none,25,4,0.161278,0.91563,1668
GKO,omp,CG,none,25,4,0.161278,0.910097,1668
GKO,omp,CG,none,25,4,0.161278,0.920508,1668
GKO,omp,CG,none,25,4,0.161278,0.913936,1668
GKO,omp,CG,none,25,4,0.161278,0.8519,1668
GKO,omp,CG,none,25,4,0.161278,0.913588,1668
GKO,omp,CG,none,25,4,0.161278,0.872943,1668
GKO,omp,CG,none,25,4,0.161278,0.928418,1668
GKO,omp,CG,none,25,4,0.161278,0.900513,1668
GKO,omp,CG,none,25,4,0.161278,0.899971,1668
GKO,omp,CG,none,25,4,0.161278,0.903503,1668
GKO,omp,CG,none,25,4,0.161278,0.926447,1668
GKO,omp,CG,none,25,4,0.161278,0.915676,1668
GKO,omp,CG,none,25,4,0.161278,0.916648,1668
GKO,omp,CG,none,25,4,0.161278,0.869512,1668
GKO,omp,CG,none,25,4,0.161278,0.913466,1668
GKO,omp,CG,none,25,4,0.161278,0.911641,1668
GKO,omp,CG,none,25,4,0.161278,0.910548,1668
GKO,omp,CG,none,25,4,0.161278,0.90924,1668
GKO,omp,CG,none,25,4,0.161278,0.910175,1668
GKO,omp,CG,none,25,4,0.161278,0.923648,1668
GKO,omp,CG,none,25,4,0.161278,0.910635,1668
GKO,omp,CG,none,25,4,0.161278,0.914337,1668
GKO,omp,CG,none,25,4,0.161278,0.919995,1668
GKO,omp,CG,none,25,4,0.161278,0.911547,1668
GKO,omp,CG,none,25,4,0.161278,0.915181,1668
GKO,omp,CG,none,25,4,0.161278,0.909594,1668
GKO,omp,CG,none,25,4,0.161278,0.865962,1668
GKO,omp,CG,none,25,4,0.161278,0.921909,1668
GKO,omp,CG,none,25,4,0.161278,0.868966,1668
GKO,omp,CG,none,25,4,0.161278,0.910434,1668
GKO,omp,CG,none,25,4,0.161278,0.907236,1668
GKO,omp,CG,none,25,4,0.161278,0.913302,1668
GKO,omp,CG,none,25,4,0.161278,0.929694,1668
GKO,omp,CG,none,25,4,0.161278,0.903824,1668
GKO,omp,CG,none,25,4,0.161278,0.908816,1668
GKO,omp,CG,none,25,4,0.161278,0.939414,1668
GKO,omp,CG,none,25,4,0.161278,0.892678,1668
GKO,omp,CG,none,25,4,0.161278,0.903326,1668
GKO,omp,CG,none,25,4,0.161278,0.916105,1668
GKO,omp,CG,none,25,8,0.170471,0.827712,1668
GKO,omp,CG,none,25,8,0.170471,0.843216,1668
GKO,omp,CG,none,25,8,0.170471,0.847615,1668
GKO,omp,CG,none,25,8,0.170471,0.818275,1668
GKO,omp,CG,none,25,8,0.170471,0.792652,1668
GKO,omp,CG,none,25,8,0.170471,0.781705,1668
GKO,omp,CG,none,25,8,0.170471,0.816224,1668
GKO,omp,CG,none,25,8,0.170471,0.834965,1668
GKO,omp,CG,none,25,8,0.170471,0.820254,1668
GKO,omp,CG,none,25,8,0.170471,0.820847,1668
GKO,omp,CG,none,25,8,0.170471,0.825164,1668
GKO,omp,CG,none,25,8,0.170471,0.815023,1668
GKO,omp,CG,none,25,8,0.170471,0.839347,1668
GKO,omp,CG,none,25,8,0.170471,0.814658,1668
GKO,omp,CG,none,25,8,0.170471,0.86215,1668
GKO,omp,CG,none,25,8,0.170471,0.818995,1668
GKO,omp,CG,none,25,8,0.170471,0.822687,1668
GKO,omp,CG,none,25,8,0.170471,0.847848,1668
GKO,omp,CG,none,25,8,0.170471,0.796109,1668
GKO,omp,CG,none,25,8,0.170471,0.849003,1668
GKO,omp,CG,none,25,8,0.170471,0.822827,1668
GKO,omp,CG,none,25,8,0.170471,0.822965,1668
GKO,omp,CG,none,25,8,0.170471,0.806847,1668
GKO,omp,CG,none,25,8,0.170471,0.820523,1668
GKO,omp,CG,none,25,8,0.170471,0.808516,1668
GKO,omp,CG,none,25,8,0.170471,0.854966,1668
GKO,omp,CG,none,25,8,0.170471,0.837579,1668
GKO,omp,CG,none,25,8,0.170471,0.833257,1668
GKO,omp,CG,none,25,8,0.170471,0.813306,1668
GKO,omp,CG,none,25,8,0.170471,0.838765,1668
GKO,omp,CG,none,25,8,0.170471,0.838236,1668
GKO,omp,CG,none,25,8,0.170471,0.846457,1668
GKO,omp,CG,none,25,8,0.170471,0.802943,1668
GKO,omp,CG,none,25,8,0.170471,0.852352,1668
GKO,omp,CG,none,25,8,0.170471,0.820877,1668
GKO,omp,CG,none,25,8,0.170471,0.799414,1668
GKO,omp,CG,none,25,8,0.170471,0.81401,1668
GKO,omp,CG,none,25,8,0.170471,0.809295,1668
GKO,omp,CG,none,25,8,0.170471,0.798696,1668
GKO,omp,CG,none,25,8,0.170471,0.847267,1668
GKO,omp,CG,none,25,8,0.170471,0.813388,1668
GKO,omp,CG,none,25,8,0.170471,0.821526,1668
GKO,omp,CG,none,25,8,0.170471,0.817959,1668
GKO,omp,CG,none,25,8,0.170471,0.816686,1668
GKO,omp,CG,none,25,8,0.170471,0.843636,1668
GKO,omp,CG,none,25,8,0.170471,0.850859,1668
GKO,omp,CG,none,25,8,0.170471,0.852891,1668
GKO,omp,CG,none,25,8,0.170471,0.825585,1668
GKO,omp,CG,none,25,8,0.170471,0.84066,1668
GKO,omp,CG,none,25,8,0.170471,0.81922,1668
GKO,omp,CG,none,25,8,0.170471,0.829116,1668
GKO,omp,CG,none,25,8,0.170471,0.814686,1668
GKO,omp,CG,none,25,8,0.170471,0.803828,1668
GKO,omp,CG,none,25,8,0.170471,0.845298,1668
GKO,omp,CG,none,25,8,0.170471,0.791344,1668
GKO,omp,CG,none,25,8,0.170471,0.817716,1668
GKO,omp,CG,none,25,8,0.170471,0.817013,1668
GKO,omp,CG,none,25,8,0.170471,0.819112,1668
GKO,omp,CG,none,25,8,0.170471,0.81795,1668
GKO,omp,CG,none,25,8,0.170471,0.82316,1668
GKO,omp,CG,none,25,8,0.170471,0.79711,1668
GKO,omp,CG,none,25,8,0.170471,0.841512,1668
GKO,omp,CG,none,25,8,0.170471,0.820776,1668
GKO,omp,CG,none,25,8,0.170471,0.814251,1668
GKO,omp,CG,none,25,8,0.170471,0.823142,1668
GKO,omp,CG,none,25,8,0.170471,0.840659,1668
GKO,omp,CG,none,25,8,0.170471,0.81686,1668
GKO,omp,CG,none,25,8,0.170471,0.814516,1668
