backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,BiCGStab,DIC,25,1,0.162306,0.503207,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.489428,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.487513,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.486171,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.493471,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.495941,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.492477,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.485323,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.483619,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.487574,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.495251,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.48566,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.491304,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.48255,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.490655,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.487499,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.491001,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.489245,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.48658,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.491684,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.481184,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.486454,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.486591,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.48352,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.485602,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.493634,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.496445,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.485031,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.487879,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.486147,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.483277,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.489729,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.488153,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.50111,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.497438,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.490192,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.493632,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.493779,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.488369,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.48813,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.488818,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.48956,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.484357,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.488306,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.494275,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.488826,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.487023,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.490042,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.487134,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.483791,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.489572,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.487704,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.490277,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.489952,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.485473,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.491775,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.492722,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.495436,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.482642,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.490649,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.49302,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.484668,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.4878,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.491269,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.492909,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.491277,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.489838,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.49367,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.49752,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.489231,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.488504,406
OF,reference,BiCGStab,DIC,25,1,0.162306,0.484235,406
