backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,none,25,1,0.160775,0.509642,1669
OF,reference,CG,none,25,1,0.160775,0.53234,1669
OF,reference,CG,none,25,1,0.160775,0.510623,1669
OF,reference,CG,none,25,1,0.160775,0.512007,1669
OF,reference,CG,none,25,1,0.160775,0.512945,1669
OF,reference,CG,none,25,1,0.160775,0.516703,1669
OF,reference,CG,none,25,1,0.160775,0.513774,1669
OF,reference,CG,none,25,1,0.160775,0.512322,1669
OF,reference,CG,none,25,1,0.160775,0.508235,1669
OF,reference,CG,none,25,1,0.160775,0.504808,1669
OF,reference,CG,none,25,1,0.160775,0.504331,1669
OF,reference,CG,none,25,1,0.160775,0.507422,1669
OF,reference,CG,none,25,1,0.160775,0.505392,1669
OF,reference,CG,none,25,1,0.160775,0.509144,1669
OF,reference,CG,none,25,1,0.160775,0.5031,1669
OF,reference,CG,none,25,1,0.160775,0.504325,1669
OF,reference,CG,none,25,1,0.160775,0.507148,1669
OF,reference,CG,none,25,1,0.160775,0.501824,1669
OF,reference,CG,none,25,1,0.160775,0.50986,1669
OF,reference,CG,none,25,1,0.160775,0.504476,1669
OF,reference,CG,none,25,1,0.160775,0.504959,1669
OF,reference,CG,none,25,1,0.160775,0.516119,1669
OF,reference,CG,none,25,1,0.160775,0.513628,1669
OF,reference,CG,none,25,1,0.160775,0.501476,1669
OF,reference,CG,none,25,1,0.160775,0.507478,1669
OF,reference,CG,none,25,1,0.160775,0.506861,1669
OF,reference,CG,none,25,1,0.160775,0.503668,1669
OF,reference,CG,none,25,1,0.160775,0.50226,1669
OF,reference,CG,none,25,1,0.160775,0.501807,1669
OF,reference,CG,none,25,1,0.160775,0.502334,1669
OF,reference,CG,none,25,1,0.160775,0.510668,1669
OF,reference,CG,none,25,1,0.160775,0.501759,1669
OF,reference,CG,none,25,1,0.160775,0.511249,1669
OF,reference,CG,none,25,1,0.160775,0.527786,1669
OF,reference,CG,none,25,1,0.160775,0.5101,1669
OF,reference,CG,none,25,1,0.160775,0.546064,1669
