backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.543957,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.489098,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.50523,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.516599,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.556843,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.562613,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.493831,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.499251,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.501404,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.488553,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.4955,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.506352,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.524118,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.175111,4.504987,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.970621,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.909124,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.932376,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.917852,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.777906,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.932591,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.922586,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.960424,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.758856,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.936752,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.747252,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.783438,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.921637,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.75103,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.946848,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.902911,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.906733,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.868082,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.831376,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.819258,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.172459,2.692225,1204
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,1.980414,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,2.004192,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,1.985839,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,1.975451,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,1.998412,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,2.005385,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,2.002922,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,1.966641,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,2.002921,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,2.017638,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,2.01486,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,2.002043,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,1.982046,1188
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.17003,2.038882,1188
