backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.518486,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.464483,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.496392,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.503329,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.511417,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.462889,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.51266,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.476028,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.466123,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.490561,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.492903,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.479081,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.496807,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.471105,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.493957,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.438118,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.464169,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.497757,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.494552,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.490699,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.461847,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.429819,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.474183,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.494849,1598
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.163872,2.452061,1598
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.968408,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.989809,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.982603,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.995267,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.933689,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.026116,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.996827,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.96145,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.771876,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.786861,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.017722,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.972279,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.021522,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.98054,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.01967,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.998706,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.964166,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.004283,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.967202,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.78328,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.969733,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.017159,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.986122,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.00344,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.010943,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.001687,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.995533,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,2.001425,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.9818,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.778463,1574
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.163782,1.986218,1574
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.60159,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.628319,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.62696,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.58371,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.635612,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.604391,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.624519,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.606349,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.559152,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.630396,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.615478,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.588665,1589
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.170879,1.612968,1589
