backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.671655,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.702561,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.67921,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.673377,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.679168,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.696007,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.681327,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.692909,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.668913,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.688698,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.677326,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.673414,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.675147,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.675781,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.68035,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.687049,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.172423,3.685785,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.172632,2.479445,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.172632,2.513277,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.172632,2.505185,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.172632,2.49153,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.172632,2.49637,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.172632,2.492909,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.172632,2.491339,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.172632,2.517273,1681
