backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.982657,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.878976,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.873045,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.867557,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.894484,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.895331,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.860178,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.892651,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.891287,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.883194,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.88802,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.868134,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.882783,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.876127,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.874732,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.869869,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.883281,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.873695,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.885436,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.880299,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.852723,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.88976,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.88068,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.868718,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.869164,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.872811,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.887513,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.871433,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.864204,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.885532,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.882895,1931
GKO,omp,CG,BiCGStab,none,25,1,0.179809,1.889438,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.631666,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.604229,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.59545,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.618795,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.562728,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.433269,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.621348,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.617887,1931
GKO,omp,CG,BiCGStab,none,25,2,0.171406,1.601961,1931
