backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.767437,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.755619,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.754362,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752981,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752763,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.755757,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.750149,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751902,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.748618,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751165,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.749721,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.753406,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751539,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.748418,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.750323,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.753422,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752769,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.754434,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751025,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752686,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.748503,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.755918,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.747187,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752282,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752594,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.747885,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.747884,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.749503,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752822,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751586,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.750449,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.753826,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.750852,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751199,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751399,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.747437,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.749051,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.762152,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751399,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.749277,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.7477,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.757454,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.747782,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.755546,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.74822,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752401,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.748373,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.757098,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751895,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.750278,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.74609,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.74903,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751774,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.749155,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.750256,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.75638,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.7518,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.759141,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751894,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.754749,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.756722,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.749295,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752088,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.753604,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752155,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.750324,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.762712,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.75068,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.763321,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.756425,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.74818,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.753397,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.760463,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.74861,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.74968,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.751448,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.754766,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.75376,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.753104,1577
OF,reference,BiCGStab,BiCGStab,none,25,1,0.162652,0.752427,1577
OF,reference,BiCGStab,BiCGStab,none,50,1,0.530666,12.354553,3177
OF,reference,BiCGStab,BiCGStab,none,50,1,0.530666,12.329977,3177
OF,reference,BiCGStab,BiCGStab,none,50,1,0.530666,12.344254,3177
OF,reference,BiCGStab,BiCGStab,none,50,1,0.530666,12.340262,3177
OF,reference,BiCGStab,BiCGStab,none,50,1,0.530666,12.567051,3177
OF,reference,BiCGStab,BiCGStab,none,75,1,1.6699,70.836473,4847
OF,reference,BiCGStab,BiCGStab,none,75,1,1.6699,70.690253,4847
OF,reference,BiCGStab,BiCGStab,none,75,1,1.6699,70.625823,4847
OF,reference,BiCGStab,BiCGStab,none,75,1,1.6699,70.689582,4847
OF,reference,BiCGStab,BiCGStab,none,75,1,1.6699,70.634642,4847
OF,reference,BiCGStab,BiCGStab,none,100,1,3.591848,225.622912,6414
OF,reference,BiCGStab,BiCGStab,none,100,1,3.591848,227.235454,6414
OF,reference,BiCGStab,BiCGStab,none,100,1,3.591848,229.91134,6414
OF,reference,BiCGStab,BiCGStab,none,100,1,3.591848,229.995633,6414
OF,reference,BiCGStab,BiCGStab,none,100,1,3.591848,232.501006,6414
