backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.578716,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.566403,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.569687,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.572796,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.564227,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.561632,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.563479,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562654,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.566017,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.560947,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562174,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562648,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562872,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.56097,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.563761,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.568056,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.559523,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562445,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.561834,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.568012,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.564552,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562823,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.560372,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.566538,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.563189,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.565623,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.568899,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.5742,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.560218,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562781,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562124,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.572078,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.575442,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.564053,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562834,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562984,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.559512,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.561894,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.561376,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.563578,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.562913,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.560382,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.5682,1894
OF,reference,CG,BiCGStab,none,25,1,0.166279,0.56624,1894
