backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,none,25,1,0.174005,2.869617,1668
GKO,cuda,CG,none,25,1,0.174005,1.533991,1668
GKO,cuda,CG,none,25,1,0.174005,1.539967,1668
GKO,cuda,CG,none,25,1,0.174005,1.529764,1668
GKO,cuda,CG,none,25,1,0.174005,1.546891,1668
GKO,cuda,CG,none,25,1,0.174005,1.524267,1668
GKO,cuda,CG,none,25,1,0.174005,1.582832,1668
GKO,cuda,CG,none,25,1,0.174005,1.515461,1668
GKO,cuda,CG,none,25,1,0.174005,1.518813,1668
GKO,cuda,CG,none,25,1,0.174005,1.581544,1668
GKO,cuda,CG,none,25,1,0.174005,1.515985,1668
GKO,cuda,CG,none,25,1,0.174005,1.559541,1668
GKO,cuda,CG,none,25,1,0.174005,1.530803,1668
GKO,cuda,CG,none,25,1,0.174005,1.525792,1668
GKO,cuda,CG,none,25,1,0.174005,1.520179,1668
GKO,cuda,CG,none,25,1,0.174005,1.527866,1668
GKO,cuda,CG,none,25,1,0.174005,1.517071,1668
GKO,cuda,CG,none,25,1,0.174005,1.581168,1668
GKO,cuda,CG,none,25,1,0.174005,1.578907,1668
GKO,cuda,CG,none,25,1,0.174005,1.510337,1668
GKO,cuda,CG,none,25,1,0.174005,1.575982,1668
GKO,cuda,CG,none,25,1,0.174005,1.532831,1668
GKO,cuda,CG,none,25,1,0.174005,1.527018,1668
GKO,cuda,CG,none,25,1,0.174005,1.530792,1668
GKO,cuda,CG,none,25,1,0.174005,1.521022,1668
GKO,cuda,CG,none,25,1,0.174005,1.512658,1668
GKO,cuda,CG,none,25,1,0.174005,1.527485,1668
GKO,cuda,CG,none,25,1,0.174005,1.519452,1668
GKO,cuda,CG,none,25,1,0.174005,1.511176,1668
GKO,cuda,CG,none,25,1,0.174005,1.518649,1668
GKO,cuda,CG,none,25,1,0.174005,1.522538,1668
GKO,cuda,CG,none,25,1,0.174005,1.521796,1668
GKO,cuda,CG,none,25,1,0.174005,1.551405,1668
GKO,cuda,CG,none,25,1,0.174005,1.540882,1668
GKO,cuda,CG,none,25,1,0.174005,1.529198,1668
GKO,cuda,CG,none,25,1,0.174005,1.508735,1668
GKO,cuda,CG,none,25,1,0.174005,1.527495,1668
GKO,cuda,CG,none,25,1,0.174005,1.514862,1668
GKO,cuda,CG,none,25,1,0.174005,1.520044,1668
GKO,cuda,CG,none,50,1,0.535776,3.88903,3424
GKO,cuda,CG,none,50,1,0.535776,3.904354,3424
GKO,cuda,CG,none,50,1,0.535776,3.987662,3424
GKO,cuda,CG,none,50,1,0.535776,3.905249,3424
GKO,cuda,CG,none,50,1,0.535776,3.893881,3424
GKO,cuda,CG,none,50,1,0.535776,3.98886,3424
GKO,cuda,CG,none,50,1,0.535776,3.865607,3424
GKO,cuda,CG,none,50,1,0.535776,3.894661,3424
GKO,cuda,CG,none,50,1,0.535776,3.862723,3424
GKO,cuda,CG,none,50,1,0.535776,3.974205,3424
GKO,cuda,CG,none,50,1,0.535776,3.972051,3424
GKO,cuda,CG,none,50,1,0.535776,3.978653,3424
GKO,cuda,CG,none,50,1,0.535776,3.891715,3424
GKO,cuda,CG,none,50,1,0.535776,3.97074,3424
GKO,cuda,CG,none,50,1,0.535776,3.868529,3424
GKO,cuda,CG,none,50,1,0.535776,3.96577,3424
GKO,cuda,CG,none,75,1,1.671219,15.048554,5199
GKO,cuda,CG,none,75,1,1.671219,14.970448,5199
GKO,cuda,CG,none,75,1,1.671219,15.143776,5199
GKO,cuda,CG,none,75,1,1.671219,14.654908,5199
GKO,cuda,CG,none,75,1,1.671219,15.275548,5199
GKO,cuda,CG,none,100,1,3.715075,33.960341,6987
GKO,cuda,CG,none,100,1,3.715075,34.647254,6987
GKO,cuda,CG,none,100,1,3.715075,33.551207,6987
GKO,cuda,CG,none,100,1,3.715075,34.321628,6987
GKO,cuda,CG,none,100,1,3.715075,33.728378,6987
