backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.82873,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.919051,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.811208,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.901092,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.823448,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.831558,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.830918,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.819153,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.920115,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.898865,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.828533,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.898248,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.822704,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.822651,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.813169,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.834961,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.859782,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.869044,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.82766,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.809928,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.816051,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.820214,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.824374,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.814687,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.820097,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.817689,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.81713,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.820683,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.816392,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.818727,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.822105,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.810891,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.170752,1.823019,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.620967,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.704135,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.59594,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.540671,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.685592,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.595075,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.598911,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.636401,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.629212,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.621235,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.535372,5.612478,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.686876,21.992349,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.686876,19.471306,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.686876,19.735768,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.686876,19.728647,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.686876,20.010758,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,5.724661,48.2022,4471
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,5.724661,48.417593,4471
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,5.724661,47.566708,4471
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,5.724661,48.838011,4471
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,5.724661,47.176459,4471
