backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,2.19738,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.974108,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.969122,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.961241,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.981311,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.965473,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,2.148985,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.979261,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.989698,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.984116,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.967134,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.974429,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.966354,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.976663,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.963964,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.994675,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.963345,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.970223,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.968404,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.97823,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.964752,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.979456,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.960861,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.967928,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.963432,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.975961,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.957105,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.976092,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.965668,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.979566,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,0.171936,1.98947,1591
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.734019,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.718133,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.726516,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.703076,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.712111,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.679069,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.703962,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.695604,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.760091,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.720423,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,0.549266,5.707298,3121
GKO,cuda,BiCGStab,BiCGStab,none,75,1,1.677546,23.561418,4449
GKO,cuda,BiCGStab,BiCGStab,none,75,1,1.677546,23.695114,4449
GKO,cuda,BiCGStab,BiCGStab,none,75,1,1.677546,23.807277,4449
GKO,cuda,BiCGStab,BiCGStab,none,75,1,1.677546,19.753921,4449
GKO,cuda,BiCGStab,BiCGStab,none,75,1,1.677546,19.82257,4449
GKO,cuda,BiCGStab,BiCGStab,none,100,1,3.604666,43.495223,4552
GKO,cuda,BiCGStab,BiCGStab,none,100,1,3.604666,43.544079,4552
GKO,cuda,BiCGStab,BiCGStab,none,100,1,3.604666,48.17699,4552
GKO,cuda,BiCGStab,BiCGStab,none,100,1,3.604666,48.294714,4552
GKO,cuda,BiCGStab,BiCGStab,none,100,1,3.604666,48.722774,4552
