backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.733216,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.768778,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.703703,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.71071,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.698905,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.715619,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.713979,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.759302,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.711874,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.714606,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.705986,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.714952,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.710302,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.713228,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.708158,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.712977,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.715595,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.722101,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.709699,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.7186,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.715364,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.711278,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.703139,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.711363,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.713058,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.712746,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.711198,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.713329,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.71415,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.723351,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.76634,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.716548,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.711204,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.714369,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,0.17068,1.72225,1681
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.372623,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.313721,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.310603,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.330323,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.314967,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.310074,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.31015,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.303701,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.458955,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.31984,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.309355,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,0.545111,5.313236,3445
GKO,cuda,CG,BiCGStab,BJ,75,1,1.695602,18.195873,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,1.695602,18.594011,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,1.695602,18.532813,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,1.695602,18.182991,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,1.695602,20.766736,5122
GKO,cuda,CG,BiCGStab,BJ,100,1,3.629896,43.751968,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,3.629896,43.688844,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,3.629896,48.439878,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,3.629896,43.29356,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,3.629896,43.990089,6980
