backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,2.661946,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.790314,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.778687,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.773797,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.784403,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.772009,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.778893,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.77309,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.822197,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.806521,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.801312,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.802147,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.819896,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.796424,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.776761,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.772982,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.779623,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.780099,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.775522,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.772844,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.780099,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.817505,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.800074,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.783683,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.773363,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.770188,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.768944,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.835298,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.803628,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.795287,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.783573,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.779772,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.779971,1931
GKO,cuda,CG,BiCGStab,none,25,1,0.175503,1.773936,1931
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.278053,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.381238,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.364612,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.370447,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.247548,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.242053,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.246615,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.239935,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.27143,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.246269,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.235173,3872
GKO,cuda,CG,BiCGStab,none,50,1,0.549304,5.363301,3872
GKO,cuda,CG,BiCGStab,none,75,1,1.700546,18.080008,5739
GKO,cuda,CG,BiCGStab,none,75,1,1.700546,20.805351,5739
GKO,cuda,CG,BiCGStab,none,75,1,1.700546,17.941663,5739
GKO,cuda,CG,BiCGStab,none,75,1,1.700546,17.958702,5739
GKO,cuda,CG,BiCGStab,none,75,1,1.700546,17.90941,5739
GKO,cuda,CG,BiCGStab,none,100,1,3.706197,48.122863,7635
GKO,cuda,CG,BiCGStab,none,100,1,3.706197,43.380486,7635
GKO,cuda,CG,BiCGStab,none,100,1,3.706197,42.898923,7635
GKO,cuda,CG,BiCGStab,none,100,1,3.706197,43.01461,7635
GKO,cuda,CG,BiCGStab,none,100,1,3.706197,43.247382,7635
