backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BJ,25,1,0.127919,27.347307,8000
GKO,omp,BiCGStab,BJ,25,1,0.127919,27.217467,8000
GKO,omp,BiCGStab,BJ,25,1,0.127919,27.306598,8000
GKO,omp,BiCGStab,BJ,25,1,0.127919,27.19986,8000
GKO,omp,BiCGStab,BJ,25,1,0.127919,27.052668,8000
GKO,omp,BiCGStab,BJ,25,2,0.176447,15.331374,8000
GKO,omp,BiCGStab,BJ,25,2,0.176447,15.431153,8000
GKO,omp,BiCGStab,BJ,25,2,0.176447,16.308804,8000
GKO,omp,BiCGStab,BJ,25,2,0.176447,16.300067,8000
GKO,omp,BiCGStab,BJ,25,2,0.176447,16.316327,8000
GKO,omp,BiCGStab,BJ,25,4,0.174883,10.069878,8000
GKO,omp,BiCGStab,BJ,25,4,0.174883,10.081562,8000
GKO,omp,BiCGStab,BJ,25,4,0.174883,10.092916,8000
GKO,omp,BiCGStab,BJ,25,4,0.174883,10.070481,8000
GKO,omp,BiCGStab,BJ,25,4,0.174883,9.978221,8000
GKO,omp,BiCGStab,BJ,25,4,0.174883,10.074782,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.463439,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.32421,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.456403,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.56422,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.393722,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.42435,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.396056,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.485048,8000
GKO,omp,BiCGStab,BJ,25,8,0.173835,7.469587,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.687944,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.822927,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.596492,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.786303,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.671736,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.780227,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.653148,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.714048,8000
GKO,omp,BiCGStab,BJ,25,16,0.181812,6.761575,8000
GKO,omp,BiCGStab,BJ,25,32,0.174539,7.691661,8000
GKO,omp,BiCGStab,BJ,25,32,0.174539,7.59369,8000
GKO,omp,BiCGStab,BJ,25,32,0.174539,7.93715,8000
GKO,omp,BiCGStab,BJ,25,32,0.174539,7.850417,8000
GKO,omp,BiCGStab,BJ,25,32,0.174539,7.64042,8000
GKO,omp,BiCGStab,BJ,25,32,0.174539,7.790394,8000
GKO,omp,BiCGStab,BJ,25,32,0.174539,7.655608,8000
GKO,omp,BiCGStab,BJ,25,32,0.174539,7.812881,8000
GKO,omp,BiCGStab,BJ,25,64,0.167209,10.672838,8000
GKO,omp,BiCGStab,BJ,25,64,0.167209,10.578215,8000
GKO,omp,BiCGStab,BJ,25,64,0.167209,10.086863,8000
GKO,omp,BiCGStab,BJ,25,64,0.167209,9.761439,8000
GKO,omp,BiCGStab,BJ,25,64,0.167209,9.593705,8000
GKO,omp,BiCGStab,BJ,25,64,0.167209,10.654612,8000
GKO,omp,BiCGStab,BJ,50,1,0.545103,216.738615,8000
GKO,omp,BiCGStab,BJ,50,1,0.545103,216.820008,8000
GKO,omp,BiCGStab,BJ,50,1,0.545103,217.334818,8000
GKO,omp,BiCGStab,BJ,50,1,0.545103,217.577924,8000
GKO,omp,BiCGStab,BJ,50,1,0.545103,217.267381,8000
GKO,omp,BiCGStab,BJ,50,2,0.54594,123.975834,8000
GKO,omp,BiCGStab,BJ,50,2,0.54594,124.41366,8000
GKO,omp,BiCGStab,BJ,50,2,0.54594,124.493681,8000
GKO,omp,BiCGStab,BJ,50,2,0.54594,119.260483,8000
GKO,omp,BiCGStab,BJ,50,2,0.54594,124.376657,8000
GKO,omp,BiCGStab,BJ,50,4,0.548161,73.756702,8000
GKO,omp,BiCGStab,BJ,50,4,0.548161,73.357418,8000
GKO,omp,BiCGStab,BJ,50,4,0.548161,73.232106,8000
GKO,omp,BiCGStab,BJ,50,4,0.548161,73.340056,8000
GKO,omp,BiCGStab,BJ,50,4,0.548161,73.247661,8000
GKO,omp,BiCGStab,BJ,50,8,0.537616,50.419269,8000
GKO,omp,BiCGStab,BJ,50,8,0.537616,50.671345,8000
GKO,omp,BiCGStab,BJ,50,8,0.537616,50.579643,8000
GKO,omp,BiCGStab,BJ,50,8,0.537616,50.567859,8000
GKO,omp,BiCGStab,BJ,50,8,0.537616,50.144698,8000
GKO,omp,BiCGStab,BJ,50,16,0.535272,39.192475,8000
GKO,omp,BiCGStab,BJ,50,16,0.535272,39.046585,8000
GKO,omp,BiCGStab,BJ,50,16,0.535272,38.027792,8000
GKO,omp,BiCGStab,BJ,50,16,0.535272,38.94965,8000
GKO,omp,BiCGStab,BJ,50,16,0.535272,39.495084,8000
GKO,omp,BiCGStab,BJ,50,32,0.538068,36.889762,8000
GKO,omp,BiCGStab,BJ,50,32,0.538068,36.851437,8000
GKO,omp,BiCGStab,BJ,50,32,0.538068,36.397185,8000
GKO,omp,BiCGStab,BJ,50,32,0.538068,37.035267,8000
GKO,omp,BiCGStab,BJ,50,32,0.538068,37.187123,8000
GKO,omp,BiCGStab,BJ,50,64,0.543887,42.311186,8000
GKO,omp,BiCGStab,BJ,50,64,0.543887,42.76685,8000
GKO,omp,BiCGStab,BJ,50,64,0.543887,39.736969,8000
GKO,omp,BiCGStab,BJ,50,64,0.543887,43.081638,8000
GKO,omp,BiCGStab,BJ,50,64,0.543887,42.602635,8000
GKO,omp,BiCGStab,BJ,75,1,1.675605,741.816539,8000
GKO,omp,BiCGStab,BJ,75,1,1.675605,742.459714,8000
