backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,none,25,1,0.168162,5.404578,8000
GKO,omp,CG,none,25,1,0.168162,5.370967,8000
GKO,omp,CG,none,25,1,0.168162,5.3828,8000
GKO,omp,CG,none,25,1,0.168162,5.348771,8000
GKO,omp,CG,none,25,1,0.168162,5.273056,8000
GKO,omp,CG,none,25,1,0.168162,5.319325,8000
GKO,omp,CG,none,25,1,0.168162,5.227758,8000
GKO,omp,CG,none,25,1,0.168162,5.303045,8000
GKO,omp,CG,none,25,1,0.168162,5.236118,8000
GKO,omp,CG,none,25,1,0.168162,5.361104,8000
GKO,omp,CG,none,25,1,0.168162,5.344586,8000
GKO,omp,CG,none,25,1,0.168162,5.298763,8000
GKO,omp,CG,none,25,2,0.173365,3.670402,8000
GKO,omp,CG,none,25,2,0.173365,3.643106,8000
GKO,omp,CG,none,25,2,0.173365,3.662997,8000
GKO,omp,CG,none,25,2,0.173365,4.222631,8000
GKO,omp,CG,none,25,2,0.173365,4.280933,8000
GKO,omp,CG,none,25,2,0.173365,4.191892,8000
GKO,omp,CG,none,25,2,0.173365,4.260681,8000
GKO,omp,CG,none,25,2,0.173365,4.300618,8000
GKO,omp,CG,none,25,2,0.173365,3.691563,8000
GKO,omp,CG,none,25,2,0.173365,4.201335,8000
GKO,omp,CG,none,25,2,0.173365,4.294422,8000
GKO,omp,CG,none,25,2,0.173365,3.660388,8000
GKO,omp,CG,none,25,2,0.173365,4.206105,8000
GKO,omp,CG,none,25,2,0.173365,3.662608,8000
GKO,omp,CG,none,25,2,0.173365,4.206146,8000
GKO,omp,CG,none,25,4,0.17104,3.231243,8000
GKO,omp,CG,none,25,4,0.17104,3.28568,8000
GKO,omp,CG,none,25,4,0.17104,3.241884,8000
GKO,omp,CG,none,25,4,0.17104,3.303418,8000
GKO,omp,CG,none,25,4,0.17104,3.300916,8000
GKO,omp,CG,none,25,4,0.17104,3.237958,8000
GKO,omp,CG,none,25,4,0.17104,3.256484,8000
GKO,omp,CG,none,25,4,0.17104,3.325659,8000
GKO,omp,CG,none,25,4,0.17104,3.275551,8000
GKO,omp,CG,none,25,4,0.17104,3.24098,8000
GKO,omp,CG,none,25,4,0.17104,3.256732,8000
GKO,omp,CG,none,25,4,0.17104,3.25933,8000
GKO,omp,CG,none,25,4,0.17104,3.24851,8000
GKO,omp,CG,none,25,4,0.17104,3.228837,8000
GKO,omp,CG,none,25,4,0.17104,3.288161,8000
GKO,omp,CG,none,25,4,0.17104,3.244131,8000
GKO,omp,CG,none,25,4,0.17104,3.306383,8000
GKO,omp,CG,none,25,4,0.17104,3.267958,8000
GKO,omp,CG,none,25,4,0.17104,3.28538,8000
GKO,omp,CG,none,25,8,0.170818,2.903179,8000
GKO,omp,CG,none,25,8,0.170818,2.934271,8000
GKO,omp,CG,none,25,8,0.170818,2.891155,8000
GKO,omp,CG,none,25,8,0.170818,3.0183,8000
GKO,omp,CG,none,25,8,0.170818,2.98568,8000
GKO,omp,CG,none,25,8,0.170818,2.947024,8000
GKO,omp,CG,none,25,8,0.170818,2.882047,8000
GKO,omp,CG,none,25,8,0.170818,2.975372,8000
GKO,omp,CG,none,25,8,0.170818,2.946849,8000
GKO,omp,CG,none,25,8,0.170818,2.935051,8000
GKO,omp,CG,none,25,8,0.170818,2.929821,8000
GKO,omp,CG,none,25,8,0.170818,2.96962,8000
GKO,omp,CG,none,25,8,0.170818,3.00449,8000
GKO,omp,CG,none,25,8,0.170818,2.918195,8000
GKO,omp,CG,none,25,8,0.170818,2.890555,8000
GKO,omp,CG,none,25,8,0.170818,2.926346,8000
GKO,omp,CG,none,25,8,0.170818,2.879831,8000
GKO,omp,CG,none,25,8,0.170818,2.939882,8000
GKO,omp,CG,none,25,8,0.170818,2.948229,8000
GKO,omp,CG,none,25,8,0.170818,2.936935,8000
GKO,omp,CG,none,25,8,0.170818,2.961577,8000
GKO,omp,CG,none,25,16,0.168748,3.115069,8000
GKO,omp,CG,none,25,16,0.168748,3.08689,8000
GKO,omp,CG,none,25,16,0.168748,3.042686,8000
GKO,omp,CG,none,25,16,0.168748,3.081341,8000
GKO,omp,CG,none,25,16,0.168748,3.093655,8000
GKO,omp,CG,none,25,16,0.168748,2.987713,8000
GKO,omp,CG,none,25,16,0.168748,3.015787,8000
GKO,omp,CG,none,25,16,0.168748,3.088164,8000
GKO,omp,CG,none,25,16,0.168748,3.107355,8000
GKO,omp,CG,none,25,16,0.168748,3.071482,8000
GKO,omp,CG,none,25,16,0.168748,3.017795,8000
GKO,omp,CG,none,25,16,0.168748,2.986268,8000
GKO,omp,CG,none,25,16,0.168748,2.932718,8000
GKO,omp,CG,none,25,16,0.168748,2.995472,8000
GKO,omp,CG,none,25,16,0.168748,3.009774,8000
GKO,omp,CG,none,25,16,0.168748,3.112581,8000
GKO,omp,CG,none,25,16,0.168748,3.10154,8000
GKO,omp,CG,none,25,16,0.168748,3.044496,8000
GKO,omp,CG,none,25,16,0.168748,3.108802,8000
GKO,omp,CG,none,25,16,0.168748,3.112414,8000
GKO,omp,CG,none,25,32,0.173678,3.601295,8000
GKO,omp,CG,none,25,32,0.173678,3.702507,8000
GKO,omp,CG,none,25,32,0.173678,3.632574,8000
GKO,omp,CG,none,25,32,0.173678,3.804276,8000
GKO,omp,CG,none,25,32,0.173678,3.747127,8000
GKO,omp,CG,none,25,32,0.173678,3.805723,8000
GKO,omp,CG,none,25,32,0.173678,3.735919,8000
GKO,omp,CG,none,25,32,0.173678,3.710696,8000
GKO,omp,CG,none,25,32,0.173678,3.84235,8000
GKO,omp,CG,none,25,32,0.173678,3.668268,8000
GKO,omp,CG,none,25,32,0.173678,3.801659,8000
GKO,omp,CG,none,25,32,0.173678,3.775573,8000
GKO,omp,CG,none,25,32,0.173678,3.78198,8000
GKO,omp,CG,none,25,32,0.173678,3.68504,8000
GKO,omp,CG,none,25,32,0.173678,3.663707,8000
GKO,omp,CG,none,25,32,0.173678,3.685603,8000
GKO,omp,CG,none,25,32,0.173678,3.662966,8000
GKO,omp,CG,none,25,64,0.168735,4.832083,8000
GKO,omp,CG,none,25,64,0.168735,4.834165,8000
GKO,omp,CG,none,25,64,0.168735,4.610642,8000
GKO,omp,CG,none,25,64,0.168735,4.47158,8000
GKO,omp,CG,none,25,64,0.168735,4.801139,8000
GKO,omp,CG,none,25,64,0.168735,4.797312,8000
GKO,omp,CG,none,25,64,0.168735,4.413437,8000
GKO,omp,CG,none,25,64,0.168735,4.525713,8000
GKO,omp,CG,none,25,64,0.168735,4.616849,8000
GKO,omp,CG,none,25,64,0.168735,4.693423,8000
GKO,omp,CG,none,25,64,0.168735,4.534006,8000
GKO,omp,CG,none,25,64,0.168735,4.725976,8000
GKO,omp,CG,none,25,64,0.168735,4.858154,8000
GKO,omp,CG,none,50,1,0.541168,40.188229,8000
GKO,omp,CG,none,50,1,0.541168,39.946106,8000
GKO,omp,CG,none,50,1,0.541168,40.188095,8000
GKO,omp,CG,none,50,1,0.541168,40.300273,8000
GKO,omp,CG,none,50,1,0.541168,40.012514,8000
GKO,omp,CG,none,50,2,0.539455,30.660482,8000
GKO,omp,CG,none,50,2,0.539455,26.246304,8000
GKO,omp,CG,none,50,2,0.539455,26.230978,8000
GKO,omp,CG,none,50,2,0.539455,31.21131,8000
GKO,omp,CG,none,50,2,0.539455,30.90152,8000
GKO,omp,CG,none,50,4,0.540716,21.910069,8000
GKO,omp,CG,none,50,4,0.540716,21.755627,8000
GKO,omp,CG,none,50,4,0.540716,21.713462,8000
GKO,omp,CG,none,50,4,0.540716,21.962913,8000
GKO,omp,CG,none,50,4,0.540716,22.098065,8000
GKO,omp,CG,none,50,8,0.543692,17.800431,8000
GKO,omp,CG,none,50,8,0.543692,18.292583,8000
GKO,omp,CG,none,50,8,0.543692,17.851657,8000
GKO,omp,CG,none,50,8,0.543692,17.839162,8000
GKO,omp,CG,none,50,8,0.543692,18.087424,8000
GKO,omp,CG,none,50,16,0.53731,16.810778,8000
GKO,omp,CG,none,50,16,0.53731,16.542842,8000
GKO,omp,CG,none,50,16,0.53731,15.983021,8000
GKO,omp,CG,none,50,16,0.53731,16.521539,8000
GKO,omp,CG,none,50,16,0.53731,16.441885,8000
GKO,omp,CG,none,50,32,0.536563,17.525551,8000
GKO,omp,CG,none,50,32,0.536563,17.584601,8000
GKO,omp,CG,none,50,32,0.536563,17.826804,8000
GKO,omp,CG,none,50,32,0.536563,17.653637,8000
GKO,omp,CG,none,50,32,0.536563,17.64311,8000
GKO,omp,CG,none,50,64,0.541491,20.745517,8000
GKO,omp,CG,none,50,64,0.541491,20.658522,8000
GKO,omp,CG,none,50,64,0.541491,20.792823,8000
GKO,omp,CG,none,50,64,0.541491,20.606356,8000
GKO,omp,CG,none,50,64,0.541491,20.077768,8000
GKO,omp,CG,none,75,1,1.67887,141.924929,8000
GKO,omp,CG,none,75,1,1.67887,142.369955,8000
GKO,omp,CG,none,75,1,1.67887,142.136897,8000
GKO,omp,CG,none,75,1,1.67887,142.153249,8000
GKO,omp,CG,none,75,1,1.67887,142.035219,8000
GKO,omp,CG,none,75,2,1.679441,103.913646,8000
GKO,omp,CG,none,75,2,1.679441,103.503341,8000
GKO,omp,CG,none,75,2,1.679441,90.777749,8000
GKO,omp,CG,none,75,2,1.679441,104.256517,8000
GKO,omp,CG,none,75,2,1.679441,90.233882,8000
GKO,omp,CG,none,75,4,1.681551,74.565281,8000
GKO,omp,CG,none,75,4,1.681551,74.384671,8000
GKO,omp,CG,none,75,4,1.681551,75.316537,8000
GKO,omp,CG,none,75,4,1.681551,74.909275,8000
GKO,omp,CG,none,75,4,1.681551,74.250317,8000
GKO,omp,CG,none,75,8,1.68566,61.969654,8000
GKO,omp,CG,none,75,8,1.68566,62.658879,8000
GKO,omp,CG,none,75,8,1.68566,61.96365,8000
GKO,omp,CG,none,75,8,1.68566,62.514521,8000
GKO,omp,CG,none,75,8,1.68566,61.535822,8000
GKO,omp,CG,none,75,16,1.67145,56.927389,8000
GKO,omp,CG,none,75,16,1.67145,56.180434,8000
GKO,omp,CG,none,75,16,1.67145,57.468307,8000
GKO,omp,CG,none,75,16,1.67145,55.796025,8000
GKO,omp,CG,none,75,16,1.67145,57.347755,8000
GKO,omp,CG,none,75,32,1.68038,58.548435,8000
GKO,omp,CG,none,75,32,1.68038,57.982336,8000
GKO,omp,CG,none,75,32,1.68038,57.413582,8000
GKO,omp,CG,none,75,32,1.68038,57.619987,8000
GKO,omp,CG,none,75,32,1.68038,57.414696,8000
GKO,omp,CG,none,75,64,1.67479,64.047239,8000
GKO,omp,CG,none,75,64,1.67479,64.09341,8000
GKO,omp,CG,none,75,64,1.67479,67.880837,8000
GKO,omp,CG,none,75,64,1.67479,67.313374,8000
GKO,omp,CG,none,75,64,1.67479,66.898931,8000
GKO,omp,CG,none,100,1,3.60604,343.614951,8000
GKO,omp,CG,none,100,1,3.60604,339.558396,8000
GKO,omp,CG,none,100,1,3.60604,342.965999,8000
GKO,omp,CG,none,100,1,3.60604,341.641367,8000
GKO,omp,CG,none,100,1,3.60604,343.79428,8000
GKO,omp,CG,none,100,2,4.212288,243.788423,8000
GKO,omp,CG,none,100,2,4.212288,218.428725,8000
GKO,omp,CG,none,100,2,4.212288,239.918088,8000
GKO,omp,CG,none,100,2,4.212288,244.870101,8000
GKO,omp,CG,none,100,2,4.212288,243.39745,8000
GKO,omp,CG,none,100,4,3.594574,174.561525,8000
GKO,omp,CG,none,100,4,3.594574,172.137579,8000
GKO,omp,CG,none,100,4,3.594574,174.564077,8000
GKO,omp,CG,none,100,4,3.594574,177.408301,8000
GKO,omp,CG,none,100,4,3.594574,172.670381,8000
GKO,omp,CG,none,100,8,3.606697,142.938743,8000
GKO,omp,CG,none,100,8,3.606697,141.599183,8000
GKO,omp,CG,none,100,8,3.606697,141.112983,8000
GKO,omp,CG,none,100,8,3.606697,142.326285,8000
GKO,omp,CG,none,100,8,3.606697,143.678275,8000
GKO,omp,CG,none,100,16,3.616885,130.31479,8000
GKO,omp,CG,none,100,16,3.616885,128.103982,8000
GKO,omp,CG,none,100,16,3.616885,128.467858,8000
GKO,omp,CG,none,100,16,3.616885,129.509538,8000
GKO,omp,CG,none,100,16,3.616885,127.650303,8000
GKO,omp,CG,none,100,32,3.5872,132.329613,8000
GKO,omp,CG,none,100,32,3.5872,133.616052,8000
GKO,omp,CG,none,100,32,3.5872,132.495586,8000
GKO,omp,CG,none,100,32,3.5872,135.098652,8000
GKO,omp,CG,none,100,32,3.5872,134.74242,8000
GKO,omp,CG,none,100,64,3.605952,140.856227,8000
GKO,omp,CG,none,100,64,3.605952,144.839319,8000
GKO,omp,CG,none,100,64,3.605952,137.161732,8000
GKO,omp,CG,none,100,64,3.605952,137.972107,8000
GKO,omp,CG,none,100,64,3.605952,140.261578,8000
