backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,BiCGStab,none,25,1,0.171099,0.692585,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.69674,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.700795,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.697103,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701578,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.703628,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.703998,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.700428,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.698424,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.698304,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.702124,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.698897,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.707528,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.700568,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.699237,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701989,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.700787,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.706179,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.706583,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.703203,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.695133,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.698646,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.70231,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.699213,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.69499,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.698253,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701362,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.69191,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.69626,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.703933,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.700218,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.695275,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.696207,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.697233,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.696942,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.70415,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.699372,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.697877,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.700362,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.703782,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.702423,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.706515,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701006,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.696616,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.707459,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701902,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.707037,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.704929,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.702002,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.705591,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.697326,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.70056,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.700642,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.696423,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.694582,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.696972,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.691693,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.697149,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.697983,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.699726,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.696064,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.696062,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.698648,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.693332,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.698682,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.697851,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.705758,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701652,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701695,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701941,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.7002,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.700839,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.7039,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.707598,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.709016,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.698563,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.707236,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.697967,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.701306,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.704614,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.708424,1354
OF,reference,BiCGStab,none,25,1,0.171099,0.704664,1354
