backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.167162,74.283789,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.167162,74.554917,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.167162,74.42032,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.167162,74.252324,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,0.167162,74.301776,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.16852,47.695986,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.16852,47.808534,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.16852,44.9301,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.16852,47.417996,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.16852,47.240447,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.170345,31.944867,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.170345,31.951217,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.170345,32.091751,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.170345,31.963304,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.170345,32.213978,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.174381,25.782964,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.174381,25.812227,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.174381,25.636082,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.174381,25.62059,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.174381,25.513903,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.171518,23.383877,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.171518,23.954751,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.171518,23.876577,20000
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.171518,23.820724,20000
