backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.167979,32.3425,20000
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.167979,32.257984,20000
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.167979,32.837675,20000
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.167979,32.50189,20000
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.167979,32.108997,20000
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.168491,23.771423,20000
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.168491,26.727887,20000
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.168491,26.792159,20000
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.168491,26.793553,20000
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.168491,26.666805,20000
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.165568,21.791979,20000
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.165568,21.942066,20000
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.165568,21.79461,20000
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.165568,22.000685,20000
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.165568,21.816874,20000
GKO,omp,BiCGStab,BiCGStab,none,25,8,0.168485,20.760502,20000
GKO,omp,BiCGStab,BiCGStab,none,25,8,0.168485,20.771062,20000
GKO,omp,BiCGStab,BiCGStab,none,25,8,0.168485,20.740243,20000
GKO,omp,BiCGStab,BiCGStab,none,25,8,0.168485,20.877803,20000
GKO,omp,BiCGStab,BiCGStab,none,25,8,0.168485,20.782834,20000
GKO,omp,BiCGStab,BiCGStab,none,25,16,0.162532,20.704577,20000
GKO,omp,BiCGStab,BiCGStab,none,25,16,0.162532,20.682628,20000
GKO,omp,BiCGStab,BiCGStab,none,25,16,0.162532,21.246838,20000
GKO,omp,BiCGStab,BiCGStab,none,25,16,0.162532,20.704217,20000
GKO,omp,BiCGStab,BiCGStab,none,25,16,0.162532,21.651904,20000
GKO,omp,BiCGStab,BiCGStab,none,25,32,0.162816,25.525203,20000
GKO,omp,BiCGStab,BiCGStab,none,25,32,0.162816,25.664831,20000
GKO,omp,BiCGStab,BiCGStab,none,25,32,0.162816,25.208678,20000
GKO,omp,BiCGStab,BiCGStab,none,25,32,0.162816,25.653524,20000
GKO,omp,BiCGStab,BiCGStab,none,25,32,0.162816,25.347492,20000
