backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,omp,CG,BiCGStab,BJ,25,1,0.167243,60.61249,20000
GKO,omp,CG,BiCGStab,BJ,25,1,0.167243,60.347223,20000
GKO,omp,CG,BiCGStab,BJ,25,1,0.167243,60.774156,20000
GKO,omp,CG,BiCGStab,BJ,25,1,0.167243,60.824872,20000
GKO,omp,CG,BiCGStab,BJ,25,1,0.167243,60.75279,20000
GKO,omp,CG,BiCGStab,BJ,25,2,0.162666,39.32523,20000
GKO,omp,CG,BiCGStab,BJ,25,2,0.162666,39.266237,20000
GKO,omp,CG,BiCGStab,BJ,25,2,0.162666,39.478088,20000
GKO,omp,CG,BiCGStab,BJ,25,2,0.162666,39.241665,20000
GKO,omp,CG,BiCGStab,BJ,25,2,0.162666,39.244942,20000
GKO,omp,CG,BiCGStab,BJ,25,4,0.169788,26.833642,20000
GKO,omp,CG,BiCGStab,BJ,25,4,0.169788,26.689614,20000
GKO,omp,CG,BiCGStab,BJ,25,4,0.169788,26.782617,20000
GKO,omp,CG,BiCGStab,BJ,25,4,0.169788,26.73624,20000
GKO,omp,CG,BiCGStab,BJ,25,4,0.169788,26.652886,20000
GKO,omp,CG,BiCGStab,BJ,25,8,0.161398,21.735295,20000
GKO,omp,CG,BiCGStab,BJ,25,8,0.161398,21.571904,20000
GKO,omp,CG,BiCGStab,BJ,25,8,0.161398,21.757994,20000
GKO,omp,CG,BiCGStab,BJ,25,8,0.161398,21.996442,20000
GKO,omp,CG,BiCGStab,BJ,25,8,0.161398,21.702536,20000
GKO,omp,CG,BiCGStab,BJ,25,16,0.163386,20.419335,20000
GKO,omp,CG,BiCGStab,BJ,25,16,0.163386,20.419653,20000
GKO,omp,CG,BiCGStab,BJ,25,16,0.163386,20.373065,20000
GKO,omp,CG,BiCGStab,BJ,25,16,0.163386,19.894518,20000
GKO,omp,CG,BiCGStab,BJ,25,16,0.163386,20.497476,20000
GKO,omp,CG,BiCGStab,BJ,25,32,0.164804,23.429058,20000
GKO,omp,CG,BiCGStab,BJ,25,32,0.164804,23.453569,20000
GKO,omp,CG,BiCGStab,BJ,25,32,0.164804,23.933097,20000
GKO,omp,CG,BiCGStab,BJ,25,32,0.164804,24.033503,20000
GKO,omp,CG,BiCGStab,BJ,25,32,0.164804,23.225266,20000
GKO,omp,CG,BiCGStab,BJ,25,64,0.164442,29.525915,20000
GKO,omp,CG,BiCGStab,BJ,25,64,0.164442,30.923781,20000
GKO,omp,CG,BiCGStab,BJ,25,64,0.164442,29.812762,20000
GKO,omp,CG,BiCGStab,BJ,25,64,0.164442,30.146158,20000
GKO,omp,CG,BiCGStab,BJ,25,64,0.164442,29.574193,20000
GKO,omp,CG,BiCGStab,BJ,50,1,0.532844,477.737517,20000
GKO,omp,CG,BiCGStab,BJ,50,1,0.532844,479.22977,20000
GKO,omp,CG,BiCGStab,BJ,50,1,0.532844,479.506313,20000
GKO,omp,CG,BiCGStab,BJ,50,1,0.532844,476.650218,20000
GKO,omp,CG,BiCGStab,BJ,50,1,0.532844,478.333571,20000
GKO,omp,CG,BiCGStab,BJ,50,2,0.537485,280.467322,20000
GKO,omp,CG,BiCGStab,BJ,50,2,0.537485,281.639674,20000
GKO,omp,CG,BiCGStab,BJ,50,2,0.537485,292.05885,20000
GKO,omp,CG,BiCGStab,BJ,50,2,0.537485,282.513628,20000
GKO,omp,CG,BiCGStab,BJ,50,2,0.537485,281.747106,20000
GKO,omp,CG,BiCGStab,BJ,50,4,0.53216,192.194745,20000
GKO,omp,CG,BiCGStab,BJ,50,4,0.53216,191.488939,20000
GKO,omp,CG,BiCGStab,BJ,50,4,0.53216,190.980411,20000
GKO,omp,CG,BiCGStab,BJ,50,4,0.53216,190.77825,20000
GKO,omp,CG,BiCGStab,BJ,50,4,0.53216,191.60937,20000
GKO,omp,CG,BiCGStab,BJ,50,8,0.535599,146.101286,20000
GKO,omp,CG,BiCGStab,BJ,50,8,0.535599,146.475681,20000
GKO,omp,CG,BiCGStab,BJ,50,8,0.535599,148.108996,20000
GKO,omp,CG,BiCGStab,BJ,50,8,0.535599,146.935675,20000
GKO,omp,CG,BiCGStab,BJ,50,8,0.535599,148.486329,20000
GKO,omp,CG,BiCGStab,BJ,50,16,0.535656,125.742896,20000
GKO,omp,CG,BiCGStab,BJ,50,16,0.535656,125.032877,20000
GKO,omp,CG,BiCGStab,BJ,50,16,0.535656,125.450278,20000
GKO,omp,CG,BiCGStab,BJ,50,16,0.535656,123.586198,20000
GKO,omp,CG,BiCGStab,BJ,50,16,0.535656,124.118012,20000
GKO,omp,CG,BiCGStab,BJ,50,32,0.536231,131.589946,20000
GKO,omp,CG,BiCGStab,BJ,50,32,0.536231,129.658241,20000
GKO,omp,CG,BiCGStab,BJ,50,32,0.536231,131.507649,20000
GKO,omp,CG,BiCGStab,BJ,50,32,0.536231,128.841443,20000
GKO,omp,CG,BiCGStab,BJ,50,32,0.536231,131.206883,20000
GKO,omp,CG,BiCGStab,BJ,50,64,0.538548,148.748369,20000
GKO,omp,CG,BiCGStab,BJ,50,64,0.538548,147.390945,20000
GKO,omp,CG,BiCGStab,BJ,50,64,0.538548,140.659435,20000
GKO,omp,CG,BiCGStab,BJ,50,64,0.538548,144.165869,20000
GKO,omp,CG,BiCGStab,BJ,50,64,0.538548,144.232507,20000
