backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.565379,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.580067,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.566405,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.565292,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563016,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561822,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563009,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563597,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563587,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.565653,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.566843,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.56203,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562473,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.566243,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563948,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562142,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.568402,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.566414,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.566022,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564572,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.568289,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.566828,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563909,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564208,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561979,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563968,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564458,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562206,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.565841,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563599,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561168,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564465,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563785,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.560214,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.5633,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563053,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.56474,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.56338,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.566888,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561745,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562086,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562384,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564708,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.56207,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562958,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562246,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563414,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561071,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.56029,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564039,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562174,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.565162,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564111,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561924,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.56331,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561767,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.565499,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561387,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563016,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.565614,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.561876,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564365,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563748,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.563748,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562031,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.564718,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.562689,1894
OF,reference,CG,BiCGStab,none,25,1,0.171448,0.565196,1894
