backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
GKO,cuda,CG,none,25,1,0.166913,2.967613,8000
GKO,cuda,CG,none,25,1,0.166913,2.936004,8000
GKO,cuda,CG,none,25,1,0.166913,2.95043,8000
GKO,cuda,CG,none,25,1,0.166913,2.945183,8000
GKO,cuda,CG,none,25,1,0.166913,2.938601,8000
GKO,cuda,CG,none,25,1,0.166913,2.96089,8000
GKO,cuda,CG,none,25,1,0.166913,2.931222,8000
GKO,cuda,CG,none,25,1,0.166913,2.983523,8000
GKO,cuda,CG,none,25,1,0.166913,2.920065,8000
GKO,cuda,CG,none,25,1,0.166913,2.933534,8000
GKO,cuda,CG,none,25,1,0.166913,2.968207,8000
GKO,cuda,CG,none,25,1,0.166913,2.967128,8000
GKO,cuda,CG,none,25,1,0.166913,2.95762,8000
GKO,cuda,CG,none,25,1,0.166913,2.971704,8000
GKO,cuda,CG,none,25,1,0.166913,2.948314,8000
GKO,cuda,CG,none,25,1,0.166913,2.93708,8000
GKO,cuda,CG,none,25,1,0.166913,2.963924,8000
GKO,cuda,CG,none,25,1,0.166913,2.929102,8000
GKO,cuda,CG,none,25,1,0.166913,2.969715,8000
GKO,cuda,CG,none,25,1,0.166913,2.93198,8000
GKO,cuda,CG,none,25,1,0.166913,2.960981,8000
GKO,cuda,CG,none,50,1,0.563897,5.040624,8000
GKO,cuda,CG,none,50,1,0.563897,5.034939,8000
GKO,cuda,CG,none,50,1,0.563897,5.039407,8000
GKO,cuda,CG,none,50,1,0.563897,5.055522,8000
GKO,cuda,CG,none,50,1,0.563897,5.019966,8000
GKO,cuda,CG,none,50,1,0.563897,5.034616,8000
GKO,cuda,CG,none,50,1,0.563897,5.054081,8000
GKO,cuda,CG,none,50,1,0.563897,5.041809,8000
GKO,cuda,CG,none,50,1,0.563897,5.059525,8000
GKO,cuda,CG,none,50,1,0.563897,5.050611,8000
GKO,cuda,CG,none,50,1,0.563897,5.031328,8000
GKO,cuda,CG,none,50,1,0.563897,5.030237,8000
GKO,cuda,CG,none,75,1,1.745131,16.475224,8000
GKO,cuda,CG,none,75,1,1.745131,17.288128,8000
GKO,cuda,CG,none,75,1,1.745131,16.902435,8000
GKO,cuda,CG,none,75,1,1.745131,16.506479,8000
GKO,cuda,CG,none,75,1,1.745131,19.079074,8000
GKO,cuda,CG,none,100,1,3.877739,37.33279,8000
GKO,cuda,CG,none,100,1,3.877739,37.575625,8000
GKO,cuda,CG,none,100,1,3.877739,37.176406,8000
GKO,cuda,CG,none,100,1,3.877739,37.532799,8000
GKO,cuda,CG,none,100,1,3.877739,37.516747,8000
