backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.172228,8.820848,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.172228,8.814112,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.172228,8.821619,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.172228,8.727282,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.172228,8.741052,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.172228,8.72339,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,0.172228,8.726773,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.550925,13.529338,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.550925,13.467032,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.550925,13.553645,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.550925,13.594082,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,0.550925,13.539823,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.710386,49.100745,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.710386,49.208468,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.710386,48.916061,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.710386,48.323794,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,1.710386,48.752447,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,3.642316,99.376797,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,3.642316,100.401824,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,3.642316,98.639804,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,3.642316,100.074225,20000
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,3.642316,98.798322,20000
