backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,CG,BiCGStab,BJ,25,1,0.183812,9.957765,20000
GKO,cuda,CG,BiCGStab,BJ,25,1,0.183812,7.925358,20000
GKO,cuda,CG,BiCGStab,BJ,25,1,0.183812,7.965035,20000
GKO,cuda,CG,BiCGStab,BJ,25,1,0.183812,7.998659,20000
GKO,cuda,CG,BiCGStab,BJ,25,1,0.183812,7.900542,20000
GKO,cuda,CG,BiCGStab,BJ,25,1,0.183812,7.898886,20000
GKO,cuda,CG,BiCGStab,BJ,25,1,0.183812,7.923008,20000
GKO,cuda,CG,BiCGStab,BJ,25,1,0.183812,7.823481,20000
GKO,cuda,CG,BiCGStab,BJ,50,1,0.577946,12.303768,20000
GKO,cuda,CG,BiCGStab,BJ,50,1,0.577946,12.210789,20000
GKO,cuda,CG,BiCGStab,BJ,50,1,0.577946,12.399918,20000
GKO,cuda,CG,BiCGStab,BJ,50,1,0.577946,12.397807,20000
GKO,cuda,CG,BiCGStab,BJ,50,1,0.577946,12.254165,20000
GKO,cuda,CG,BiCGStab,BJ,75,1,1.828312,42.897839,20000
GKO,cuda,CG,BiCGStab,BJ,75,1,1.828312,42.674002,20000
GKO,cuda,CG,BiCGStab,BJ,75,1,1.828312,42.616708,20000
GKO,cuda,CG,BiCGStab,BJ,75,1,1.828312,42.600611,20000
GKO,cuda,CG,BiCGStab,BJ,75,1,1.828312,42.02137,20000
GKO,cuda,CG,BiCGStab,BJ,100,1,3.835284,87.338321,20000
GKO,cuda,CG,BiCGStab,BJ,100,1,3.835284,87.622536,20000
GKO,cuda,CG,BiCGStab,BJ,100,1,3.835284,88.154242,20000
GKO,cuda,CG,BiCGStab,BJ,100,1,3.835284,86.834218,20000
GKO,cuda,CG,BiCGStab,BJ,100,1,3.835284,86.702323,20000
