backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,CG,BiCGStab,none,25,1,0.179075,7.636092,20000
GKO,cuda,CG,BiCGStab,none,25,1,0.179075,7.572341,20000
GKO,cuda,CG,BiCGStab,none,25,1,0.179075,7.557239,20000
GKO,cuda,CG,BiCGStab,none,25,1,0.179075,7.580945,20000
GKO,cuda,CG,BiCGStab,none,25,1,0.179075,7.537077,20000
GKO,cuda,CG,BiCGStab,none,25,1,0.179075,7.576996,20000
GKO,cuda,CG,BiCGStab,none,25,1,0.179075,7.52955,20000
GKO,cuda,CG,BiCGStab,none,25,1,0.179075,7.581261,20000
GKO,cuda,CG,BiCGStab,none,50,1,0.561363,11.070265,20000
GKO,cuda,CG,BiCGStab,none,50,1,0.561363,11.108429,20000
GKO,cuda,CG,BiCGStab,none,50,1,0.561363,10.989652,20000
GKO,cuda,CG,BiCGStab,none,50,1,0.561363,11.014123,20000
GKO,cuda,CG,BiCGStab,none,50,1,0.561363,11.082358,20000
GKO,cuda,CG,BiCGStab,none,50,1,0.561363,11.132499,20000
GKO,cuda,CG,BiCGStab,none,75,1,1.694678,43.265638,20000
GKO,cuda,CG,BiCGStab,none,75,1,1.694678,44.205894,20000
GKO,cuda,CG,BiCGStab,none,75,1,1.694678,43.250807,20000
GKO,cuda,CG,BiCGStab,none,75,1,1.694678,41.602915,20000
GKO,cuda,CG,BiCGStab,none,75,1,1.694678,43.42045,20000
GKO,cuda,CG,BiCGStab,none,100,1,3.659205,81.034179,20000
GKO,cuda,CG,BiCGStab,none,100,1,3.659205,85.098399,20000
GKO,cuda,CG,BiCGStab,none,100,1,3.659205,83.501386,20000
GKO,cuda,CG,BiCGStab,none,100,1,3.659205,84.156172,20000
GKO,cuda,CG,BiCGStab,none,100,1,3.659205,82.795981,20000
