backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'nla-gpu2.ianm.kit.edu\n', 'uptime': ' 16:30:24 up 9 days, 21:40,  1 user,  load average: 0.76, 0.47, 0.57\n'}}
GKO,hip,CG,none,25,1,66e1d2679e0b2b5b8809bde1c45935c3,9.03506,13.126073,1663
GKO,hip,CG,none,25,1,66e1d2679e0b2b5b8809bde1c45935c3,9.03506,13.11618,1663
GKO,hip,CG,none,25,1,66e1d2679e0b2b5b8809bde1c45935c3,9.03506,13.088935,1663
GKO,hip,CG,none,25,1,66e1d2679e0b2b5b8809bde1c45935c3,9.03506,13.145542,1663
GKO,hip,CG,none,25,1,66e1d2679e0b2b5b8809bde1c45935c3,9.03506,13.337312,1663
GKO,hip,CG,BJ,25,1,fe60fee650ed82d1a56c3ba4f7593844,8.975552,12.802635,1479
GKO,hip,CG,BJ,25,1,fe60fee650ed82d1a56c3ba4f7593844,8.975552,12.837687,1479
GKO,hip,CG,BJ,25,1,fe60fee650ed82d1a56c3ba4f7593844,8.975552,12.609849,1479
GKO,hip,CG,BJ,25,1,fe60fee650ed82d1a56c3ba4f7593844,8.975552,12.736255,1479
GKO,hip,CG,BJ,25,1,fe60fee650ed82d1a56c3ba4f7593844,8.975552,12.821477,1479
GKO,hip,BiCGStab,none,25,1,2aa7f768cefa621b3ef7192b48ad8d6c,9.767442,16.21465,1351
GKO,hip,BiCGStab,none,25,1,2aa7f768cefa621b3ef7192b48ad8d6c,9.767442,16.377546,1351
GKO,hip,BiCGStab,none,25,1,2aa7f768cefa621b3ef7192b48ad8d6c,9.767442,16.144548,1351
GKO,hip,BiCGStab,none,25,1,2aa7f768cefa621b3ef7192b48ad8d6c,9.767442,16.546761,1351
GKO,hip,BiCGStab,none,25,1,2aa7f768cefa621b3ef7192b48ad8d6c,9.767442,16.21931,1351
GKO,hip,BiCGStab,BJ,25,1,2a4810e64e04604037d3efd17008cfa3,9.512786,14.213501,991
GKO,hip,BiCGStab,BJ,25,1,2a4810e64e04604037d3efd17008cfa3,9.512786,14.436132,991
GKO,hip,BiCGStab,BJ,25,1,2a4810e64e04604037d3efd17008cfa3,9.512786,14.321186,991
GKO,hip,BiCGStab,BJ,25,1,2a4810e64e04604037d3efd17008cfa3,9.512786,14.328683,991
GKO,hip,BiCGStab,BJ,25,1,2a4810e64e04604037d3efd17008cfa3,9.512786,14.404143,991
GKO,hip,IR,none,25,1,091550ec142dbb8c773ce37272bc0da5,8.212002,8.911055,27
GKO,hip,IR,none,25,1,091550ec142dbb8c773ce37272bc0da5,8.212002,8.629242,27
GKO,hip,IR,none,25,1,091550ec142dbb8c773ce37272bc0da5,8.212002,8.481929,27
GKO,hip,IR,none,25,1,091550ec142dbb8c773ce37272bc0da5,8.212002,8.476776,27
GKO,hip,IR,none,25,1,091550ec142dbb8c773ce37272bc0da5,8.212002,8.586831,27
GKO,hip,IR,none,25,1,091550ec142dbb8c773ce37272bc0da5,8.212002,8.547349,27
GKO,hip,IR,none,25,1,091550ec142dbb8c773ce37272bc0da5,8.212002,8.473798,27
GKO,hip,CG,none,50,1,4647f2882beb4aba2466630490d9dbbd,24.895211,88.45847,3442
GKO,hip,CG,none,50,1,4647f2882beb4aba2466630490d9dbbd,24.895211,88.192003,3442
GKO,hip,CG,none,50,1,4647f2882beb4aba2466630490d9dbbd,24.895211,88.245412,3442
GKO,hip,CG,none,50,1,4647f2882beb4aba2466630490d9dbbd,24.895211,88.061708,3442
GKO,hip,CG,none,50,1,4647f2882beb4aba2466630490d9dbbd,24.895211,88.219867,3442
GKO,hip,CG,BJ,50,1,d17af9797b6eeca7acc7b06aa1cf7f22,23.131205,77.5369,2973
GKO,hip,CG,BJ,50,1,d17af9797b6eeca7acc7b06aa1cf7f22,23.131205,77.401929,2973
GKO,hip,CG,BJ,50,1,d17af9797b6eeca7acc7b06aa1cf7f22,23.131205,77.516956,2973
GKO,hip,CG,BJ,50,1,d17af9797b6eeca7acc7b06aa1cf7f22,23.131205,77.398687,2973
GKO,hip,CG,BJ,50,1,d17af9797b6eeca7acc7b06aa1cf7f22,23.131205,77.378963,2973
GKO,hip,BiCGStab,none,50,1,2f011f84b2870034a619c7a197c4adf6,34.275024,135.141192,2810
GKO,hip,BiCGStab,none,50,1,2f011f84b2870034a619c7a197c4adf6,34.275024,124.735301,2810
GKO,hip,BiCGStab,none,50,1,2f011f84b2870034a619c7a197c4adf6,34.275024,138.027985,2810
GKO,hip,BiCGStab,none,50,1,2f011f84b2870034a619c7a197c4adf6,34.275024,138.08005,2810
GKO,hip,BiCGStab,none,50,1,2f011f84b2870034a619c7a197c4adf6,34.275024,138.15089,2810
GKO,hip,BiCGStab,BJ,50,1,7ff0579c2e6f87132738dc57ac6f7b0e,29.312965,104.764304,2123
GKO,hip,BiCGStab,BJ,50,1,7ff0579c2e6f87132738dc57ac6f7b0e,29.312965,97.042064,2123
GKO,hip,BiCGStab,BJ,50,1,7ff0579c2e6f87132738dc57ac6f7b0e,29.312965,106.173578,2123
GKO,hip,BiCGStab,BJ,50,1,7ff0579c2e6f87132738dc57ac6f7b0e,29.312965,106.077445,2123
GKO,hip,BiCGStab,BJ,50,1,7ff0579c2e6f87132738dc57ac6f7b0e,29.312965,105.75353,2123
GKO,hip,IR,none,50,1,41cad3f4e6553e5b6139a669fd36580e,8.812427,11.067125,30
GKO,hip,IR,none,50,1,41cad3f4e6553e5b6139a669fd36580e,8.812427,11.053587,30
GKO,hip,IR,none,50,1,41cad3f4e6553e5b6139a669fd36580e,8.812427,10.911281,30
GKO,hip,IR,none,50,1,41cad3f4e6553e5b6139a669fd36580e,8.812427,10.916897,30
