backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,CG,BJ,25,1,0.799205,2.807302,1482
GKO,omp,CG,BJ,25,1,0.799205,2.835028,1482
GKO,omp,CG,BJ,25,1,0.799205,2.839143,1482
GKO,omp,CG,BJ,25,1,0.799205,2.827667,1482
GKO,omp,CG,BJ,25,1,0.799205,2.829889,1482
GKO,omp,CG,BJ,25,1,0.799205,2.823627,1482
GKO,omp,CG,BJ,25,1,0.799205,2.82608,1482
GKO,omp,CG,BJ,25,1,0.799205,2.83686,1482
GKO,omp,CG,BJ,25,1,0.799205,2.829998,1482
GKO,omp,CG,BJ,25,1,0.799205,2.827339,1482
GKO,omp,CG,BJ,25,1,0.799205,2.851929,1482
GKO,omp,CG,BJ,25,1,0.799205,2.827266,1482
GKO,omp,CG,BJ,25,1,0.799205,2.826249,1482
GKO,omp,CG,BJ,25,1,0.799205,2.824851,1482
GKO,omp,CG,BJ,25,1,0.799205,2.825451,1482
GKO,omp,CG,BJ,25,1,0.799205,2.830782,1482
GKO,omp,CG,BJ,25,1,0.799205,2.8224,1482
GKO,omp,CG,BJ,25,1,0.799205,2.82399,1482
GKO,omp,CG,BJ,25,1,0.799205,2.825891,1482
GKO,omp,CG,BJ,25,1,0.799205,2.827813,1482
GKO,omp,CG,BJ,25,1,0.799205,2.83478,1482
GKO,omp,CG,BJ,25,1,0.799205,2.82865,1482
GKO,omp,CG,BJ,25,2,0.595208,1.767212,1482
GKO,omp,CG,BJ,25,2,0.595208,1.891815,1482
GKO,omp,CG,BJ,25,2,0.595208,1.89549,1482
GKO,omp,CG,BJ,25,2,0.595208,1.894006,1482
GKO,omp,CG,BJ,25,2,0.595208,1.926662,1482
GKO,omp,CG,BJ,25,2,0.595208,1.919258,1482
GKO,omp,CG,BJ,25,2,0.595208,1.793331,1482
GKO,omp,CG,BJ,25,2,0.595208,1.891244,1482
GKO,omp,CG,BJ,25,2,0.595208,1.892732,1482
GKO,omp,CG,BJ,25,2,0.595208,1.910191,1482
GKO,omp,CG,BJ,25,2,0.595208,1.785999,1482
GKO,omp,CG,BJ,25,2,0.595208,1.912367,1482
GKO,omp,CG,BJ,25,2,0.595208,1.780905,1482
GKO,omp,CG,BJ,25,2,0.595208,1.772888,1482
GKO,omp,CG,BJ,25,2,0.595208,1.923506,1482
GKO,omp,CG,BJ,25,2,0.595208,1.782235,1482
GKO,omp,CG,BJ,25,2,0.595208,1.799063,1482
GKO,omp,CG,BJ,25,2,0.595208,1.78645,1482
GKO,omp,CG,BJ,25,2,0.595208,1.780609,1482
GKO,omp,CG,BJ,25,2,0.595208,1.890013,1482
GKO,omp,CG,BJ,25,2,0.595208,1.914707,1482
GKO,omp,CG,BJ,25,2,0.595208,1.901569,1482
GKO,omp,CG,BJ,25,2,0.595208,1.896256,1482
GKO,omp,CG,BJ,25,2,0.595208,1.783752,1482
GKO,omp,CG,BJ,25,2,0.595208,1.897301,1482
GKO,omp,CG,BJ,25,2,0.595208,1.767612,1482
GKO,omp,CG,BJ,25,2,0.595208,1.910161,1482
GKO,omp,CG,BJ,25,2,0.595208,1.920832,1482
GKO,omp,CG,BJ,25,2,0.595208,1.793387,1482
GKO,omp,CG,BJ,25,2,0.595208,1.917061,1482
GKO,omp,CG,BJ,25,2,0.595208,1.914424,1482
GKO,omp,CG,BJ,25,2,0.595208,1.783809,1482
GKO,omp,CG,BJ,25,2,0.595208,1.770404,1482
GKO,omp,CG,BJ,25,4,0.485494,1.268803,1482
GKO,omp,CG,BJ,25,4,0.485494,1.286112,1482
GKO,omp,CG,BJ,25,4,0.485494,1.286132,1482
GKO,omp,CG,BJ,25,4,0.485494,1.293785,1482
GKO,omp,CG,BJ,25,4,0.485494,1.292121,1482
GKO,omp,CG,BJ,25,4,0.485494,1.269978,1482
GKO,omp,CG,BJ,25,4,0.485494,1.291411,1482
GKO,omp,CG,BJ,25,4,0.485494,1.300049,1482
GKO,omp,CG,BJ,25,4,0.485494,1.2971,1482
GKO,omp,CG,BJ,25,4,0.485494,1.291053,1482
GKO,omp,CG,BJ,25,4,0.485494,1.277979,1482
GKO,omp,CG,BJ,25,4,0.485494,1.288709,1482
GKO,omp,CG,BJ,25,4,0.485494,1.288879,1482
GKO,omp,CG,BJ,25,4,0.485494,1.27954,1482
GKO,omp,CG,BJ,25,4,0.485494,1.286397,1482
GKO,omp,CG,BJ,25,4,0.485494,1.284146,1482
GKO,omp,CG,BJ,25,4,0.485494,1.288474,1482
GKO,omp,CG,BJ,25,4,0.485494,1.280731,1482
GKO,omp,CG,BJ,25,4,0.485494,1.292042,1482
GKO,omp,CG,BJ,25,4,0.485494,1.301063,1482
GKO,omp,CG,BJ,25,4,0.485494,1.294722,1482
GKO,omp,CG,BJ,25,4,0.485494,1.284382,1482
GKO,omp,CG,BJ,25,4,0.485494,1.302542,1482
GKO,omp,CG,BJ,25,4,0.485494,1.295442,1482
GKO,omp,CG,BJ,25,4,0.485494,1.282621,1482
GKO,omp,CG,BJ,25,4,0.485494,1.270457,1482
GKO,omp,CG,BJ,25,4,0.485494,1.27679,1482
GKO,omp,CG,BJ,25,4,0.485494,1.287975,1482
GKO,omp,CG,BJ,25,4,0.485494,1.282617,1482
GKO,omp,CG,BJ,25,4,0.485494,1.306206,1482
GKO,omp,CG,BJ,25,4,0.485494,1.290284,1482
GKO,omp,CG,BJ,25,4,0.485494,1.286634,1482
GKO,omp,CG,BJ,25,4,0.485494,1.290381,1482
GKO,omp,CG,BJ,25,4,0.485494,1.278877,1482
GKO,omp,CG,BJ,25,4,0.485494,1.295076,1482
GKO,omp,CG,BJ,25,4,0.485494,1.298754,1482
GKO,omp,CG,BJ,25,4,0.485494,1.299063,1482
GKO,omp,CG,BJ,25,4,0.485494,1.300502,1482
GKO,omp,CG,BJ,25,4,0.485494,1.294924,1482
GKO,omp,CG,BJ,25,4,0.485494,1.296589,1482
GKO,omp,CG,BJ,25,4,0.485494,1.276122,1482
GKO,omp,CG,BJ,25,4,0.485494,1.285322,1482
GKO,omp,CG,BJ,25,4,0.485494,1.292872,1482
GKO,omp,CG,BJ,25,4,0.485494,1.28255,1482
GKO,omp,CG,BJ,25,4,0.485494,1.289681,1482
GKO,omp,CG,BJ,25,4,0.485494,1.294804,1482
GKO,omp,CG,BJ,25,4,0.485494,1.286648,1482
GKO,omp,CG,BJ,25,8,0.422075,1.006202,1482
GKO,omp,CG,BJ,25,8,0.422075,1.009751,1482
GKO,omp,CG,BJ,25,8,0.422075,1.005491,1482
GKO,omp,CG,BJ,25,8,0.422075,1.02156,1482
GKO,omp,CG,BJ,25,8,0.422075,1.027205,1482
GKO,omp,CG,BJ,25,8,0.422075,1.000263,1482
GKO,omp,CG,BJ,25,8,0.422075,0.967569,1482
GKO,omp,CG,BJ,25,8,0.422075,1.023354,1482
GKO,omp,CG,BJ,25,8,0.422075,1.005254,1482
GKO,omp,CG,BJ,25,8,0.422075,0.957276,1482
GKO,omp,CG,BJ,25,8,0.422075,1.002724,1482
GKO,omp,CG,BJ,25,8,0.422075,1.017412,1482
GKO,omp,CG,BJ,25,8,0.422075,0.987561,1482
GKO,omp,CG,BJ,25,8,0.422075,0.989843,1482
GKO,omp,CG,BJ,25,8,0.422075,0.991245,1482
GKO,omp,CG,BJ,25,8,0.422075,0.976368,1482
