backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.295489,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.291682,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.318386,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.294228,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.298446,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.291952,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.288885,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.446478,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.417786,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.291756,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.293535,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.295791,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.314277,1190
GKO,omp,BiCGStab,BJ,25,1,1.141099,4.300745,1190
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.556278,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.697711,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.706624,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.814226,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.69228,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.708256,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.592933,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.604096,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.696881,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.587687,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.580431,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.695895,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.6889,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.711253,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.688141,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.575375,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.690712,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.584944,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.695425,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.572497,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.563046,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.713372,1177
GKO,omp,BiCGStab,BJ,25,2,0.770639,2.674698,1177
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.759889,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.792347,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.785264,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.78902,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.748967,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.797416,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.809403,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.793651,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.797371,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.802197,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.8085,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.792486,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.775092,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.804073,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.78486,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.801185,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.827764,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.797131,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.801879,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.790561,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.796543,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.774205,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.800333,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.78713,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.790867,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.803107,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.803453,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.810301,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.794514,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.782499,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.797367,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.787765,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.786189,1184
GKO,omp,BiCGStab,BJ,25,4,0.592668,1.789828,1184
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.399166,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.413914,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.391443,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.396736,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.373347,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.386674,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.412566,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.391185,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.365744,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.446555,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.37779,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.400392,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.368984,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.381634,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.396322,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.368362,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.382491,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.393699,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.385826,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.382773,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.360866,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.376383,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.389927,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.405857,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.386565,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.37166,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.387244,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.375491,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.423223,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.395915,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.407239,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.41337,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.385782,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.359011,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.40076,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.353502,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.412584,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.391563,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.424906,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.390345,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.393905,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.389137,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.388223,1178
GKO,omp,BiCGStab,BJ,25,8,0.504975,1.396316,1178
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.420829,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.44345,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.465217,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.44055,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.428651,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.472935,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.387053,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.473368,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.434411,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.441249,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.40846,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.435554,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.530609,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.521481,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.49531,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.439088,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.426544,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.42589,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.403233,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.420256,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.40877,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.440771,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.438377,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.52551,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.492852,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.468587,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.40822,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.405519,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.454437,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.366552,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.445009,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.475151,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.434142,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.484652,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.40059,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.39267,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.407794,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.4444,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.407836,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.454108,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.507262,1194
GKO,omp,BiCGStab,BJ,25,16,0.544092,1.44868,1194
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.520289,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.533217,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.600211,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.5471,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.582567,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.492212,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.57983,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.526676,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.607128,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.500709,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.53342,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.525947,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.50381,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.494075,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.578409,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.569766,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.530243,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.631057,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.743672,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.517545,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.535128,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.487011,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.471656,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.525358,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.506119,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.503886,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.543651,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.601387,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.560918,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.613511,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.606011,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.593538,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.539282,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.502118,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.53287,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.526938,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.515188,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.430538,1185
GKO,omp,BiCGStab,BJ,25,32,0.572974,1.543438,1185
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.916248,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.812493,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.841401,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.862192,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.914431,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.799779,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.910223,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.935074,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.962645,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.968276,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.973291,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.937743,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.93619,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.873039,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.763649,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.89642,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.843176,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.949962,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,2.223959,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.899762,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.904431,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.877858,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,2.006901,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.925545,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.992249,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.956884,1195
GKO,omp,BiCGStab,BJ,25,64,0.724751,1.883385,1195
