backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n438.localdomain\n', 'uptime': ' 12:41:28 up 254 days, 12:12,  0 users,  load average: 2.87, 30.09, 31.19\n'}}
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.665957,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.639838,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.648871,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.640309,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.626234,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.625369,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.618671,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.61523,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.636488,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.611977,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.62137,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.613619,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.61456,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.624151,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.613182,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.61268,988
GKO,omp,BiCGStab,BJ,25,1,1c1f708241461872faa80bfffcaf5841,1.055896,3.630544,988
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.224428,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.207803,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.29187,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.365598,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.51695,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.263222,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.208024,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.309382,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.334217,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.327188,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.267035,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.254103,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.24669,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.251573,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.267032,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.295146,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.312432,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.222892,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.260031,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.222545,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.315355,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.304075,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.252822,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.314561,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.313691,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.227103,986
GKO,omp,BiCGStab,BJ,25,2,baea487f8d7df21698d7c539c9f1b427,0.725931,2.301025,986
GKO,omp,BiCGStab,BJ,25,4,98351089b3eb3e6b718bb8bc5c9d31a6,0.561659,1.975375,979
GKO,omp,BiCGStab,BJ,25,4,98351089b3eb3e6b718bb8bc5c9d31a6,0.561659,1.550196,979
GKO,omp,BiCGStab,BJ,25,4,98351089b3eb3e6b718bb8bc5c9d31a6,0.561659,1.574318,979
