backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,BiCGStab,none,25,1,0.648106,2.018303,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.009173,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.019924,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.019058,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.019704,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.014631,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.025383,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.03053,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.026786,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.017464,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.021852,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.017042,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.024236,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.013127,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.018221,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.015106,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.012833,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.017583,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.033696,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.00833,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.048393,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.019779,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.018309,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.013732,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.02493,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.018832,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.024718,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.020473,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.019693,1334
GKO,omp,BiCGStab,none,25,1,0.648106,2.022832,1334
GKO,omp,BiCGStab,none,25,2,0.5531,1.572723,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.580017,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.548323,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.558914,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.560445,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.575016,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.465951,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.568278,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.575558,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.446861,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.571456,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.560946,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.567988,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.441725,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.583186,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.545128,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.588178,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.601751,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.580309,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.57158,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.539718,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.543233,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.430479,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.557697,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.451143,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.554707,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.450653,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.581478,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.432325,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.540872,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.578593,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.58366,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.576911,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.432776,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.431909,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.575015,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.568561,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.438202,1356
GKO,omp,BiCGStab,none,25,2,0.5531,1.574423,1356
