backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n525.localdomain\n', 'uptime': ' 22:16:54 up 257 days,  6:32,  0 users,  load average: 1.32, 2.10, 2.37\n'}}
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.019793,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.031906,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.017676,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.03905,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.023014,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.013714,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,1.990077,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.03842,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.010172,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.015696,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.0141,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.01414,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,1.965828,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.012026,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.009412,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.006357,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.020609,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.059973,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.024082,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,1.994161,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.022121,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.041003,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.016609,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.011676,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.007832,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.023665,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.003256,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.008462,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.018008,1334
GKO,omp,BiCGStab,none,25,1,d917ba35040b8863b7f906c03be80845,0.643429,2.019385,1334
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.561032,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.582576,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.585855,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.565867,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.614067,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.431102,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.57699,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.42055,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.567523,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.43112,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.56925,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.575255,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.42678,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.446037,1352
GKO,omp,BiCGStab,none,25,2,868d780e24a004056943a674dd65d5f9,0.536556,1.434952,1352
