backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n524.localdomain\n', 'uptime': ' 22:45:32 up 257 days, 10:06,  0 users,  load average: 7.30, 28.09, 35.26\n'}}
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.054915,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.046143,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.046032,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.039604,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.044087,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.038954,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.038848,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.040539,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.040415,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.03491,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.040658,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.050969,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.053227,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.047075,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.033919,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.050556,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.056777,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.040144,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.040456,1610
GKO,omp,CG,BJ,25,1,14c3a658e3ef1664ac43509910b428de,0.890485,3.039857,1610
