backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,CG,none,25,1,0.522889,1.38122,1668
GKO,omp,CG,none,25,1,0.522889,1.402044,1668
GKO,omp,CG,none,25,1,0.522889,1.411008,1668
GKO,omp,CG,none,25,1,0.522889,1.399432,1668
GKO,omp,CG,none,25,1,0.522889,1.402018,1668
GKO,omp,CG,none,25,1,0.522889,1.402445,1668
GKO,omp,CG,none,25,1,0.522889,1.403289,1668
GKO,omp,CG,none,25,1,0.522889,1.406344,1668
GKO,omp,CG,none,25,1,0.522889,1.402987,1668
GKO,omp,CG,none,25,1,0.522889,1.407191,1668
GKO,omp,CG,none,25,1,0.522889,1.397698,1668
GKO,omp,CG,none,25,1,0.522889,1.40127,1668
GKO,omp,CG,none,25,1,0.522889,1.392236,1668
GKO,omp,CG,none,25,1,0.522889,1.412596,1668
GKO,omp,CG,none,25,1,0.522889,1.405294,1668
GKO,omp,CG,none,25,1,0.522889,1.405532,1668
GKO,omp,CG,none,25,1,0.522889,1.40566,1668
GKO,omp,CG,none,25,1,0.522889,1.405472,1668
GKO,omp,CG,none,25,1,0.522889,1.404256,1668
GKO,omp,CG,none,25,1,0.522889,1.401195,1668
GKO,omp,CG,none,25,1,0.522889,1.399129,1668
GKO,omp,CG,none,25,1,0.522889,2.110163,1668
GKO,omp,CG,none,25,1,0.522889,1.922143,1668
GKO,omp,CG,none,25,1,0.522889,1.400991,1668
GKO,omp,CG,none,25,1,0.522889,1.404787,1668
GKO,omp,CG,none,25,1,0.522889,1.393999,1668
GKO,omp,CG,none,25,1,0.522889,1.397157,1668
GKO,omp,CG,none,25,1,0.522889,1.394069,1668
GKO,omp,CG,none,25,1,0.522889,1.401798,1668
GKO,omp,CG,none,25,1,0.522889,1.40823,1668
GKO,omp,CG,none,25,1,0.522889,1.403853,1668
GKO,omp,CG,none,25,1,0.522889,1.400198,1668
GKO,omp,CG,none,25,1,0.522889,1.396487,1668
GKO,omp,CG,none,25,1,0.522889,1.399729,1668
GKO,omp,CG,none,25,1,0.522889,1.412311,1668
GKO,omp,CG,none,25,1,0.522889,1.405154,1668
GKO,omp,CG,none,25,1,0.522889,1.409109,1668
GKO,omp,CG,none,25,1,0.522889,1.401063,1668
GKO,omp,CG,none,25,1,0.522889,1.407775,1668
GKO,omp,CG,none,25,1,0.522889,1.403995,1668
GKO,omp,CG,none,25,1,0.522889,1.40281,1668
GKO,omp,CG,none,25,1,0.522889,1.403554,1668
GKO,omp,CG,none,25,2,0.44306,1.126276,1668
GKO,omp,CG,none,25,2,0.44306,1.109291,1668
GKO,omp,CG,none,25,2,0.44306,1.152312,1668
GKO,omp,CG,none,25,2,0.44306,1.14427,1668
GKO,omp,CG,none,25,2,0.44306,1.145653,1668
GKO,omp,CG,none,25,2,0.44306,1.165033,1668
GKO,omp,CG,none,25,2,0.44306,1.048916,1668
GKO,omp,CG,none,25,2,0.44306,1.157163,1668
GKO,omp,CG,none,25,2,0.44306,1.158454,1668
GKO,omp,CG,none,25,2,0.44306,1.107728,1668
GKO,omp,CG,none,25,2,0.44306,1.155097,1668
GKO,omp,CG,none,25,2,0.44306,1.028346,1668
GKO,omp,CG,none,25,2,0.44306,1.157117,1668
GKO,omp,CG,none,25,2,0.44306,1.064781,1668
GKO,omp,CG,none,25,2,0.44306,1.12367,1668
GKO,omp,CG,none,25,2,0.44306,1.177715,1668
GKO,omp,CG,none,25,2,0.44306,1.114254,1668
GKO,omp,CG,none,25,2,0.44306,1.063757,1668
GKO,omp,CG,none,25,2,0.44306,1.15743,1668
GKO,omp,CG,none,25,2,0.44306,1.149114,1668
GKO,omp,CG,none,25,2,0.44306,1.110154,1668
GKO,omp,CG,none,25,2,0.44306,1.144016,1668
GKO,omp,CG,none,25,2,0.44306,1.187582,1668
GKO,omp,CG,none,25,2,0.44306,1.150857,1668
GKO,omp,CG,none,25,2,0.44306,1.162494,1668
GKO,omp,CG,none,25,2,0.44306,1.15854,1668
GKO,omp,CG,none,25,2,0.44306,1.057538,1668
GKO,omp,CG,none,25,2,0.44306,1.110107,1668
GKO,omp,CG,none,25,2,0.44306,1.115614,1668
GKO,omp,CG,none,25,2,0.44306,1.153343,1668
GKO,omp,CG,none,25,2,0.44306,1.147707,1668
GKO,omp,CG,none,25,2,0.44306,1.104253,1668
