backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n394.localdomain\n', 'uptime': ' 21:49:22 up 239 days, 20:00,  0 users,  load average: 0.41, 0.16, 0.06\n'}}
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.368169,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.414365,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.399962,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.411828,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.409662,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.40683,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.393457,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.399034,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.410526,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.401713,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.407357,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.404641,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.403902,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.406875,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.40431,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.402362,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.401992,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.400777,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.401714,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.400212,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.409124,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.396991,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.410577,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.401592,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.394277,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.382768,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.398718,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.402769,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.407912,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.405008,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.395694,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.403347,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.397097,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.402808,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.409866,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.397707,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.404075,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.379496,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.400138,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.399337,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.403017,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.403924,1668
GKO,omp,CG,none,25,1,37177bbaa00d61b45f1fa97673cc9916,0.524297,1.407794,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.141279,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.157325,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.135493,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.143783,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.157466,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.054008,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.054035,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.032717,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.147601,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.163661,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.12136,1668
GKO,omp,CG,none,25,2,27cea1e6477210276ef9709c83933fc6,0.451914,1.147555,1668
