backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,IR,none,25,1,0.636395,1.644455,27
GKO,omp,IR,none,25,1,0.636395,1.647764,27
GKO,omp,IR,none,25,1,0.636395,1.680533,27
GKO,omp,IR,none,25,1,0.636395,1.670533,27
GKO,omp,IR,none,25,1,0.636395,1.653709,27
GKO,omp,IR,none,25,1,0.636395,1.652649,27
GKO,omp,IR,none,25,1,0.636395,1.650884,27
GKO,omp,IR,none,25,1,0.636395,1.651125,27
GKO,omp,IR,none,25,1,0.636395,1.669872,27
GKO,omp,IR,none,25,1,0.636395,1.670584,27
GKO,omp,IR,none,25,1,0.636395,1.666384,27
GKO,omp,IR,none,25,1,0.636395,1.65563,27
GKO,omp,IR,none,25,1,0.636395,1.652051,27
GKO,omp,IR,none,25,1,0.636395,1.673321,27
GKO,omp,IR,none,25,1,0.636395,1.657047,27
GKO,omp,IR,none,25,1,0.636395,1.661911,27
GKO,omp,IR,none,25,1,0.636395,1.662845,27
GKO,omp,IR,none,25,1,0.636395,1.68889,27
GKO,omp,IR,none,25,1,0.636395,1.657334,27
GKO,omp,IR,none,25,1,0.636395,1.65493,27
GKO,omp,IR,none,25,1,0.636395,1.660236,27
GKO,omp,IR,none,25,1,0.636395,1.657665,27
GKO,omp,IR,none,25,1,0.636395,1.664948,27
GKO,omp,IR,none,25,1,0.636395,1.655427,27
GKO,omp,IR,none,25,1,0.636395,1.658281,27
GKO,omp,IR,none,25,1,0.636395,1.655753,27
GKO,omp,IR,none,25,1,0.636395,1.648832,27
GKO,omp,IR,none,25,1,0.636395,1.698981,27
GKO,omp,IR,none,25,1,0.636395,1.660255,27
GKO,omp,IR,none,25,1,0.636395,1.647652,27
GKO,omp,IR,none,25,1,0.636395,1.648202,27
GKO,omp,IR,none,25,1,0.636395,1.662521,27
GKO,omp,IR,none,25,1,0.636395,1.659047,27
GKO,omp,IR,none,25,1,0.636395,1.654082,27
GKO,omp,IR,none,25,1,0.636395,1.687971,27
GKO,omp,IR,none,25,1,0.636395,1.645183,27
GKO,omp,IR,none,25,1,0.636395,1.650956,27
GKO,omp,IR,none,25,2,0.520462,1.295387,27
GKO,omp,IR,none,25,2,0.520462,1.161607,27
GKO,omp,IR,none,25,2,0.520462,1.174489,27
GKO,omp,IR,none,25,2,0.520462,1.331786,27
GKO,omp,IR,none,25,2,0.520462,1.25217,27
GKO,omp,IR,none,25,2,0.520462,1.257893,27
GKO,omp,IR,none,25,2,0.520462,1.324626,27
GKO,omp,IR,none,25,2,0.520462,1.264795,27
GKO,omp,IR,none,25,2,0.520462,1.31594,27
GKO,omp,IR,none,25,2,0.520462,1.172915,27
GKO,omp,IR,none,25,2,0.520462,1.32189,27
GKO,omp,IR,none,25,2,0.520462,1.218658,27
GKO,omp,IR,none,25,2,0.520462,1.164887,27
GKO,omp,IR,none,25,2,0.520462,1.251941,27
GKO,omp,IR,none,25,2,0.520462,1.261697,27
GKO,omp,IR,none,25,2,0.520462,1.246131,27
GKO,omp,IR,none,25,2,0.520462,1.316877,27
GKO,omp,IR,none,25,2,0.520462,1.241489,27
GKO,omp,IR,none,25,2,0.520462,1.3032,27
GKO,omp,IR,none,25,2,0.520462,1.173717,27
GKO,omp,IR,none,25,2,0.520462,1.24962,27
GKO,omp,IR,none,25,2,0.520462,1.315105,27
GKO,omp,IR,none,25,2,0.520462,1.163579,27
GKO,omp,IR,none,25,2,0.520462,1.240741,27
GKO,omp,IR,none,25,2,0.520462,1.247991,27
GKO,omp,IR,none,25,2,0.520462,1.317267,27
GKO,omp,IR,none,25,2,0.520462,1.315291,27
GKO,omp,IR,none,25,2,0.520462,1.305431,27
GKO,omp,IR,none,25,2,0.520462,1.245127,27
GKO,omp,IR,none,25,2,0.520462,1.316755,27
GKO,omp,IR,none,25,2,0.520462,1.175335,27
GKO,omp,IR,none,25,2,0.520462,1.156579,27
GKO,omp,IR,none,25,2,0.520462,1.145766,27
GKO,omp,IR,none,25,2,0.520462,1.306413,27
GKO,omp,IR,none,25,2,0.520462,1.254817,27
GKO,omp,IR,none,25,2,0.520462,1.366017,27
GKO,omp,IR,none,25,2,0.520462,1.310769,27
GKO,omp,IR,none,25,2,0.520462,1.246069,27
GKO,omp,IR,none,25,2,0.520462,1.168691,27
GKO,omp,IR,none,25,2,0.520462,1.295669,27
GKO,omp,IR,none,25,2,0.520462,1.32257,27
GKO,omp,IR,none,25,2,0.520462,1.24535,27
GKO,omp,IR,none,25,2,0.520462,1.246544,27
GKO,omp,IR,none,25,2,0.520462,1.297158,27
GKO,omp,IR,none,25,2,0.520462,1.236274,27
GKO,omp,IR,none,25,2,0.520462,1.234279,27
GKO,omp,IR,none,25,2,0.520462,1.234468,27
GKO,omp,IR,none,25,2,0.520462,1.310987,27
GKO,omp,IR,none,25,4,0.450074,0.97975,27
GKO,omp,IR,none,25,4,0.450074,0.898718,27
GKO,omp,IR,none,25,4,0.450074,0.933246,27
GKO,omp,IR,none,25,4,0.450074,0.965834,27
GKO,omp,IR,none,25,4,0.450074,0.959716,27
GKO,omp,IR,none,25,4,0.450074,0.956006,27
GKO,omp,IR,none,25,4,0.450074,0.976344,27
GKO,omp,IR,none,25,4,0.450074,0.973654,27
GKO,omp,IR,none,25,4,0.450074,0.909908,27
GKO,omp,IR,none,25,4,0.450074,0.990741,27
GKO,omp,IR,none,25,4,0.450074,0.98398,27
GKO,omp,IR,none,25,4,0.450074,0.964823,27
GKO,omp,IR,none,25,4,0.450074,0.966777,27
GKO,omp,IR,none,25,4,0.450074,0.965601,27
GKO,omp,IR,none,25,4,0.450074,0.982348,27
GKO,omp,IR,none,25,4,0.450074,0.915925,27
GKO,omp,IR,none,25,4,0.450074,0.974478,27
GKO,omp,IR,none,25,4,0.450074,0.985792,27
GKO,omp,IR,none,25,4,0.450074,0.967769,27
GKO,omp,IR,none,25,4,0.450074,0.98372,27
GKO,omp,IR,none,25,4,0.450074,0.973928,27
GKO,omp,IR,none,25,4,0.450074,0.984174,27
GKO,omp,IR,none,25,4,0.450074,0.977366,27
GKO,omp,IR,none,25,4,0.450074,0.961712,27
GKO,omp,IR,none,25,4,0.450074,0.945523,27
GKO,omp,IR,none,25,4,0.450074,0.962115,27
GKO,omp,IR,none,25,4,0.450074,0.955624,27
GKO,omp,IR,none,25,4,0.450074,0.959608,27
GKO,omp,IR,none,25,4,0.450074,0.96002,27
GKO,omp,IR,none,25,4,0.450074,0.960278,27
GKO,omp,IR,none,25,4,0.450074,0.991953,27
GKO,omp,IR,none,25,4,0.450074,0.96765,27
GKO,omp,IR,none,25,4,0.450074,0.978782,27
GKO,omp,IR,none,25,4,0.450074,0.960349,27
GKO,omp,IR,none,25,4,0.450074,0.925972,27
GKO,omp,IR,none,25,4,0.450074,0.964614,27
GKO,omp,IR,none,25,4,0.450074,0.962665,27
GKO,omp,IR,none,25,4,0.450074,0.97862,27
GKO,omp,IR,none,25,4,0.450074,0.985689,27
GKO,omp,IR,none,25,4,0.450074,0.981222,27
GKO,omp,IR,none,25,4,0.450074,0.951339,27
GKO,omp,IR,none,25,4,0.450074,0.96226,27
GKO,omp,IR,none,25,4,0.450074,0.966467,27
GKO,omp,IR,none,25,4,0.450074,0.988132,27
GKO,omp,IR,none,25,4,0.450074,0.966761,27
GKO,omp,IR,none,25,4,0.450074,0.977796,27
GKO,omp,IR,none,25,4,0.450074,0.964563,27
GKO,omp,IR,none,25,4,0.450074,0.93433,27
GKO,omp,IR,none,25,4,0.450074,0.980966,27
GKO,omp,IR,none,25,4,0.450074,0.969864,27
GKO,omp,IR,none,25,4,0.450074,0.964896,27
GKO,omp,IR,none,25,4,0.450074,0.977063,27
GKO,omp,IR,none,25,4,0.450074,0.954865,27
GKO,omp,IR,none,25,4,0.450074,0.962471,27
GKO,omp,IR,none,25,4,0.450074,0.897398,27
GKO,omp,IR,none,25,4,0.450074,0.974825,27
GKO,omp,IR,none,25,4,0.450074,0.947523,27
GKO,omp,IR,none,25,4,0.450074,0.977774,27
GKO,omp,IR,none,25,4,0.450074,0.962089,27
GKO,omp,IR,none,25,4,0.450074,0.968262,27
GKO,omp,IR,none,25,4,0.450074,0.978899,27
GKO,omp,IR,none,25,4,0.450074,0.954899,27
GKO,omp,IR,none,25,4,0.450074,0.965807,27
GKO,omp,IR,none,25,8,0.412819,0.845247,27
GKO,omp,IR,none,25,8,0.412819,0.857633,27
GKO,omp,IR,none,25,8,0.412819,0.807698,27
GKO,omp,IR,none,25,8,0.412819,0.842783,27
GKO,omp,IR,none,25,8,0.412819,0.85328,27
GKO,omp,IR,none,25,8,0.412819,0.845842,27
GKO,omp,IR,none,25,8,0.412819,0.85731,27
GKO,omp,IR,none,25,8,0.412819,0.867914,27
GKO,omp,IR,none,25,8,0.412819,0.875305,27
GKO,omp,IR,none,25,8,0.412819,1.359974,27
GKO,omp,IR,none,25,8,0.412819,0.975098,27
GKO,omp,IR,none,25,8,0.412819,0.851597,27
GKO,omp,IR,none,25,8,0.412819,0.86581,27
GKO,omp,IR,none,25,8,0.412819,0.851114,27
GKO,omp,IR,none,25,8,0.412819,0.866115,27
GKO,omp,IR,none,25,8,0.412819,0.837094,27
GKO,omp,IR,none,25,8,0.412819,0.862415,27
GKO,omp,IR,none,25,8,0.412819,0.802976,27
GKO,omp,IR,none,25,8,0.412819,0.828878,27
GKO,omp,IR,none,25,8,0.412819,0.853305,27
GKO,omp,IR,none,25,8,0.412819,0.823813,27
GKO,omp,IR,none,25,8,0.412819,0.792493,27
GKO,omp,IR,none,25,8,0.412819,0.834914,27
GKO,omp,IR,none,25,8,0.412819,0.793912,27
GKO,omp,IR,none,25,8,0.412819,0.909627,27
GKO,omp,IR,none,25,8,0.412819,0.841532,27
GKO,omp,IR,none,25,8,0.412819,0.854418,27
GKO,omp,IR,none,25,8,0.412819,0.822831,27
GKO,omp,IR,none,25,8,0.412819,0.872305,27
GKO,omp,IR,none,25,8,0.412819,0.840266,27
GKO,omp,IR,none,25,8,0.412819,0.825121,27
GKO,omp,IR,none,25,8,0.412819,0.822776,27
GKO,omp,IR,none,25,8,0.412819,0.85793,27
GKO,omp,IR,none,25,8,0.412819,0.896933,27
GKO,omp,IR,none,25,8,0.412819,0.830242,27
GKO,omp,IR,none,25,8,0.412819,0.832197,27
GKO,omp,IR,none,25,8,0.412819,0.862435,27
GKO,omp,IR,none,25,8,0.412819,0.838635,27
GKO,omp,IR,none,25,8,0.412819,0.796707,27
GKO,omp,IR,none,25,8,0.412819,0.803901,27
GKO,omp,IR,none,25,8,0.412819,0.866351,27
GKO,omp,IR,none,25,8,0.412819,0.841906,27
GKO,omp,IR,none,25,8,0.412819,0.985837,27
GKO,omp,IR,none,25,8,0.412819,0.826295,27
GKO,omp,IR,none,25,8,0.412819,0.83038,27
GKO,omp,IR,none,25,8,0.412819,0.864356,27
GKO,omp,IR,none,25,8,0.412819,0.799368,27
GKO,omp,IR,none,25,8,0.412819,0.837198,27
GKO,omp,IR,none,25,8,0.412819,0.808794,27
GKO,omp,IR,none,25,8,0.412819,0.830835,27
GKO,omp,IR,none,25,8,0.412819,0.834877,27
GKO,omp,IR,none,25,8,0.412819,0.832475,27
GKO,omp,IR,none,25,8,0.412819,0.807845,27
GKO,omp,IR,none,25,8,0.412819,0.837483,27
GKO,omp,IR,none,25,8,0.412819,0.828124,27
GKO,omp,IR,none,25,8,0.412819,0.832746,27
GKO,omp,IR,none,25,8,0.412819,0.855902,27
GKO,omp,IR,none,25,8,0.412819,0.840345,27
GKO,omp,IR,none,25,8,0.412819,0.818081,27
GKO,omp,IR,none,25,8,0.412819,0.827262,27
GKO,omp,IR,none,25,8,0.412819,0.850694,27
GKO,omp,IR,none,25,8,0.412819,0.853642,27
GKO,omp,IR,none,25,8,0.412819,0.844208,27
GKO,omp,IR,none,25,8,0.412819,0.854761,27
