backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n398.localdomain\n', 'uptime': ' 22:44:15 up 257 days,  7:30,  0 users,  load average: 11.73, 31.07, 36.61\n'}}
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.651615,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.659051,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.701534,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.660985,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.660099,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.648427,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.649034,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.651639,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.646148,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.649821,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.662852,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.662224,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.656378,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.656676,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.68792,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.66576,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.65886,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.652637,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.65606,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.662932,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.651903,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.647859,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,2.287785,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,2.192305,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.666697,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.64726,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.651397,27
GKO,omp,IR,none,25,1,043d5eb33f6327ca3697c72e977f26a7,0.651324,1.652261,27
