backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,BiCGStab,none,25,1,0.644547,2.007468,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.028103,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.029287,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.024992,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.019343,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.02369,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.031052,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.026756,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.025185,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.033927,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.025012,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.011883,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.022767,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.014584,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.0259,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.018584,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.029035,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.003326,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.031883,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.024996,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.035054,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.026291,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.026607,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.014613,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.021992,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.018108,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.014594,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.016995,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.033357,1345
GKO,omp,BiCGStab,none,25,1,0.644547,2.026811,1345
GKO,omp,BiCGStab,none,25,2,0.524692,1.553422,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.559836,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.60429,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.565482,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.557776,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.584146,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.445693,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.449719,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.429483,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.45855,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.581249,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.579811,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.557769,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.439699,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.562861,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.431183,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.445828,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.544337,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.434571,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.428395,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.568468,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.585942,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.566348,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.579967,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.573205,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.446838,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.431215,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.427538,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.583056,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.457419,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.582869,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.55756,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.442888,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.529656,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.570393,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.439496,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.433365,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.438271,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.559275,1351
GKO,omp,BiCGStab,none,25,2,0.524692,1.55489,1351
GKO,omp,BiCGStab,none,25,4,0.48619,1.192866,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.222706,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.23738,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.231998,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.241243,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.226087,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.252355,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.254999,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.231432,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.247908,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.240941,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.234709,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.246656,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.228552,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.223498,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.242057,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.238012,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.246967,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.222899,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.236779,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.237442,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.242469,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.239484,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.243272,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.249637,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.249837,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.221547,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.240173,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.220319,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.234137,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.230372,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.226694,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.241878,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.191274,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.230234,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.25401,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.251916,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.181885,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.246843,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.234804,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.238436,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.222978,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.226314,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.226821,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.247559,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.201795,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.247119,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.245566,1346
GKO,omp,BiCGStab,none,25,4,0.48619,1.234534,1346
GKO,omp,BiCGStab,none,25,8,0.445904,1.080414,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.093241,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.118254,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.125308,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.116283,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.118114,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.096446,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.095177,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.08812,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.099914,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.115486,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.085463,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.128296,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.114401,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.10969,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.089559,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.108503,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.098612,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.090976,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.088282,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.115216,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.084095,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.119384,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.070178,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.116404,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.122541,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.0936,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.085529,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.111065,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.093541,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.109808,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.111868,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.115346,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.109144,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.112725,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.098813,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.117357,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.12202,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.114177,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.108008,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.087563,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.109881,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.124007,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.095143,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.082778,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.118029,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.114983,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.118233,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.109246,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.09233,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.089979,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.124081,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.094103,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.093795,1348
GKO,omp,BiCGStab,none,25,8,0.445904,1.123189,1348
GKO,omp,BiCGStab,none,25,16,0.454835,1.221846,1344
