backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n523.localdomain\n', 'uptime': ' 12:32:09 up 263 days,  2:02,  0 users,  load average: 0.29, 0.17, 1.55\n'}}
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.366286,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.396525,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.353964,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.3437,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.343905,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.413355,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.199139,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.163939,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.09225,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.320407,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.340646,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.165989,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.334129,526
OF,mpi,BiCGStab,DIC,25,1,2ce68f1bf6a600e018ebaa40af520dd1,4.48044,4.257064,526
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.783465,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.58235,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.579076,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.81147,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.812243,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.636246,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.797747,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.748836,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.589417,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,5.809883,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.77871,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.722303,1021
OF,mpi,BiCGStab,DIC,50,1,a3f3078508e7e9344f9dd1b2a9dcce5b,4.446205,4.764831,1021
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.625475,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,5.791907,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.117081,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.779934,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.826871,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.570703,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.07665,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.541493,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.497273,1561
OF,mpi,BiCGStab,DIC,75,1,fb80a6426a51f3d0d346f7fb057e54f9,4.93862,6.907411,1561
OF,mpi,BiCGStab,DIC,100,1,435695bb48b12e58ee63a3305411c224,6.786923,11.827801,2046
OF,mpi,BiCGStab,DIC,100,1,435695bb48b12e58ee63a3305411c224,6.786923,12.070965,2046
OF,mpi,BiCGStab,DIC,100,1,435695bb48b12e58ee63a3305411c224,6.786923,12.463369,2046
OF,mpi,BiCGStab,DIC,100,1,435695bb48b12e58ee63a3305411c224,6.786923,12.097084,2046
OF,mpi,BiCGStab,DIC,100,1,435695bb48b12e58ee63a3305411c224,6.786923,12.212411,2046
