backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n402.localdomain\n', 'uptime': ' 12:59:02 up 257 days, 15:57,  0 users,  load average: 1.79, 2.93, 7.77\n'}}
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.398503,1249
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.357484,1249
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.54707,1249
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.233144,1249
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.535898,1249
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.743563,1249
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.540594,1249
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.572243,1249
OF,mpi,BiCGStab,none,25,1,944c55dc5433cda1498cf28557405882,7.247975,7.661138,1249
OF,mpi,BiCGStab,none,50,1,7fc2148aabf71493564d6ce72271e8c8,7.696302,8.257957,2709
OF,mpi,BiCGStab,none,50,1,7fc2148aabf71493564d6ce72271e8c8,7.696302,8.293173,2709
OF,mpi,BiCGStab,none,50,1,7fc2148aabf71493564d6ce72271e8c8,7.696302,8.052109,2709
OF,mpi,BiCGStab,none,50,1,7fc2148aabf71493564d6ce72271e8c8,7.696302,8.607751,2709
OF,mpi,BiCGStab,none,50,1,7fc2148aabf71493564d6ce72271e8c8,7.696302,8.025655,2709
OF,mpi,BiCGStab,none,50,1,7fc2148aabf71493564d6ce72271e8c8,7.696302,8.257237,2709
OF,mpi,BiCGStab,none,50,1,7fc2148aabf71493564d6ce72271e8c8,7.696302,8.661629,2709
OF,mpi,BiCGStab,none,50,1,7fc2148aabf71493564d6ce72271e8c8,7.696302,8.090288,2709
OF,mpi,BiCGStab,none,75,1,1601582184c29d85682723780ac2dc64,8.0843,11.003759,3969
OF,mpi,BiCGStab,none,75,1,1601582184c29d85682723780ac2dc64,8.0843,10.640038,3969
OF,mpi,BiCGStab,none,75,1,1601582184c29d85682723780ac2dc64,8.0843,11.114305,3969
OF,mpi,BiCGStab,none,75,1,1601582184c29d85682723780ac2dc64,8.0843,10.92619,3969
OF,mpi,BiCGStab,none,75,1,1601582184c29d85682723780ac2dc64,8.0843,10.898279,3969
OF,mpi,BiCGStab,none,75,1,1601582184c29d85682723780ac2dc64,8.0843,11.092604,3969
OF,mpi,BiCGStab,none,100,1,065ab38aeb549b80db95e79bedbffcc8,10.726278,22.377158,5397
OF,mpi,BiCGStab,none,100,1,065ab38aeb549b80db95e79bedbffcc8,10.726278,21.722472,5397
OF,mpi,BiCGStab,none,100,1,065ab38aeb549b80db95e79bedbffcc8,10.726278,22.284246,5397
OF,mpi,BiCGStab,none,100,1,065ab38aeb549b80db95e79bedbffcc8,10.726278,21.842851,5397
OF,mpi,BiCGStab,none,100,1,065ab38aeb549b80db95e79bedbffcc8,10.726278,22.149526,5397
