backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n551.localdomain\n', 'uptime': ' 12:32:08 up 258 days, 20:12,  0 users,  load average: 0.28, 0.12, 0.27\n'}}
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.310842,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.360013,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.13705,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.156718,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.227943,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,3.990803,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.208723,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.209827,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.223281,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.351327,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.124486,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.276079,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.320921,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.130052,773
OF,mpi,CG,DIC,25,1,f7e93b9a6b3b4b80f72fe9910d31fb86,4.454317,4.161267,773
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.599804,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.634755,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.529609,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.438267,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.556309,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.668442,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.476712,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.594686,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.656077,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.591361,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.587556,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.550514,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.61006,1482
OF,mpi,CG,DIC,50,1,a1c9672a65c0d34007db14fe4b879853,4.349652,4.581729,1482
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.672618,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.669999,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.980005,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.405232,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.814031,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.588929,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.909483,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.933667,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,5.888744,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,6.105063,2285
OF,mpi,CG,DIC,75,1,bd822909fd9f92f6bfbed417d84abc77,4.470323,6.098636,2285
OF,mpi,CG,DIC,100,1,e4f330508d8e4b314f7f9457346d668a,5.891894,9.155264,2886
OF,mpi,CG,DIC,100,1,e4f330508d8e4b314f7f9457346d668a,5.891894,9.305497,2886
OF,mpi,CG,DIC,100,1,e4f330508d8e4b314f7f9457346d668a,5.891894,9.63796,2886
OF,mpi,CG,DIC,100,1,e4f330508d8e4b314f7f9457346d668a,5.891894,9.606739,2886
OF,mpi,CG,DIC,100,1,e4f330508d8e4b314f7f9457346d668a,5.891894,8.97778,2886
OF,mpi,CG,DIC,100,1,e4f330508d8e4b314f7f9457346d668a,5.891894,9.489931,2886
OF,mpi,CG,DIC,100,1,e4f330508d8e4b314f7f9457346d668a,5.891894,9.324085,2886
