backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n550.localdomain\n', 'uptime': ' 12:32:09 up 258 days, 20:12,  0 users,  load average: 0.35, 0.40, 7.78\n'}}
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.385933,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.4114,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.326351,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.389339,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.397079,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.17388,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.372162,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.340501,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.23804,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.268967,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.340691,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.249362,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.347569,1600
OF,mpi,CG,none,25,1,871135fc6f58fbd20d975d7921925733,4.461687,4.301604,1600
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.604515,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.701978,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.775729,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.602311,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.841381,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.747634,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.806561,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.753905,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.862151,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.905417,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.765637,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.821033,3279
OF,mpi,CG,none,50,1,8360f650aabcc8e7c95d329a58d22847,4.367555,4.667051,3279
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,5.928363,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,6.434189,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,6.157155,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,6.403689,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,5.911999,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,6.485695,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,6.001516,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,5.962264,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,6.104987,5026
OF,mpi,CG,none,75,1,7c64cb73b0f722a110ff865c9e6cee01,4.667224,6.098739,5026
OF,mpi,CG,none,100,1,b2c42509a0ff82b7404f16d5ed0dc252,5.919665,9.856966,6715
OF,mpi,CG,none,100,1,b2c42509a0ff82b7404f16d5ed0dc252,5.919665,10.651268,6715
OF,mpi,CG,none,100,1,b2c42509a0ff82b7404f16d5ed0dc252,5.919665,9.8531,6715
OF,mpi,CG,none,100,1,b2c42509a0ff82b7404f16d5ed0dc252,5.919665,10.213446,6715
OF,mpi,CG,none,100,1,b2c42509a0ff82b7404f16d5ed0dc252,5.919665,10.522183,6715
OF,mpi,CG,none,100,1,b2c42509a0ff82b7404f16d5ed0dc252,5.919665,10.170237,6715
