backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,BiCGStab,DIC,25,1,0.229355,0.479897,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.475342,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.480267,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.48128,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.476969,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.481045,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.479653,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.472898,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.474997,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.480788,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.48055,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.479791,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.478857,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.481199,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.479833,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.481757,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.477449,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.481378,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.47922,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.486752,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.478527,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.477374,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.478645,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.47945,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.47281,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.474178,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.47707,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.472557,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.474287,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.474877,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.46779,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.47662,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.475571,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.477981,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.474731,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.472144,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.478955,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.471848,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.475368,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.473399,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.477545,403
OF,reference,BiCGStab,DIC,25,1,0.229355,0.477181,403
