backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n431.localdomain\n', 'uptime': ' 15:49:27 up 255 days,  2:45,  0 users,  load average: 0.27, 0.13, 0.21\n'}}
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.491559,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.505971,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.497026,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.495663,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.492419,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.496385,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.489763,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486845,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484874,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.492067,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.494383,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.489758,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.490005,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.48209,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486815,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486044,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484501,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488755,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488805,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.480579,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488386,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483961,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.48692,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.489827,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.482674,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487751,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486493,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.482178,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487333,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487851,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.482721,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487092,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486933,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485584,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486299,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488066,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487053,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483116,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484422,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487068,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.492366,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.494441,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488076,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483716,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.479703,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.489374,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484715,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485915,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487908,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486072,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483448,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.490643,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.494723,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485659,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485333,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487248,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.48463,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.482886,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487143,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.497806,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484748,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487397,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484774,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.48238,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486519,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485511,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.49404,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.49682,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486353,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487579,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488205,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.494842,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.491806,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.489619,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483145,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488584,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487681,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484685,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.490817,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484842,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483714,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488022,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.482684,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487741,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483404,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483256,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488021,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485809,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.483954,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.490017,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.482836,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486139,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.484457,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485849,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.486862,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.48519,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485269,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.497612,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.491098,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488199,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.490725,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.492378,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.491452,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.488248,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.485768,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.490287,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.490996,406
OF,reference,BiCGStab,DIC,25,1,4391a3515cfd922e1b78db4ea3fec084,0.236113,0.487253,406
