backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n480.localdomain\n', 'uptime': ' 01:53:38 up 257 days, 15:23,  0 users,  load average: 1.14, 13.88, 28.14\n'}}
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480422,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.495561,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.477845,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.472222,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.475802,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.478823,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.486145,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.477368,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.481318,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.481608,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.479282,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.485001,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.482767,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.482179,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.482388,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.487384,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.477358,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.4762,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.470136,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.473399,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.486702,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480355,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.483884,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.479752,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.471023,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.478724,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480998,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480348,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.479067,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.477795,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.479788,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480579,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.477234,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.475958,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.473036,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.474105,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.474097,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.47801,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.483892,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.476563,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480669,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.479757,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.475318,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.481341,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.47466,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.478936,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.483958,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.484893,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.478906,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.476882,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.475155,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.470797,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.48284,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.487005,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.481552,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.476795,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.474819,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.477542,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.485443,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.486071,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.486158,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.481716,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.477183,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.47581,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.475662,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.473704,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480235,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.478025,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.476923,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.476508,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.479725,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480274,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.478207,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.474464,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.485665,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.480679,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.485174,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.484913,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.472879,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.47539,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.48106,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.481721,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.478889,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.483463,403
OF,reference,BiCGStab,DIC,25,1,4a15fff65e43c536b76c5f2903a50935,0.23913,0.476091,403
