backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,BiCGStab,none,25,1,0.291833,0.743225,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.731402,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.711146,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.716876,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.711592,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.706179,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.710228,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.706748,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.719506,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.709113,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.708768,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.715141,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.704532,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.717451,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.715024,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.711751,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.70343,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.715273,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.713719,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.716735,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.70869,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.715825,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.705014,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.718449,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.707453,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.70287,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.71593,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.705873,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.715695,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.707429,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.714271,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.705974,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.712288,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.713767,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.716491,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.707037,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.707489,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.705662,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.709233,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.704334,1357
OF,reference,BiCGStab,none,25,1,0.291833,0.717166,1357
