backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n530.localdomain\n', 'uptime': ' 14:28:40 up 255 days,  3:16,  0 users,  load average: 0.96, 1.44, 4.85\n'}}
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.703595,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.722798,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.710542,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.698767,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70375,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70975,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.708965,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.708079,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.704802,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.705723,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702817,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70616,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.704097,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.701353,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70453,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.699599,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.706009,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.701186,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.707366,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70706,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.708027,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702737,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.704941,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.703854,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.699679,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.698513,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.709631,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.704795,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.704873,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70389,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.695587,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.701789,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.700718,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.711428,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.710967,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.711307,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70222,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70113,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.701938,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702054,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702899,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.706063,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.703134,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.701883,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.701468,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.701776,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702885,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702282,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70358,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.708036,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.706345,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702757,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702968,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.702565,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.701457,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.704662,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.698635,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.712097,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.712762,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.70984,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.709443,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.695328,1354
OF,reference,BiCGStab,none,25,1,65fa3e1adc4c633b4f1b5f7407eeb9da,0.280797,0.703224,1354
