backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n480.localdomain\n', 'uptime': ' 02:36:37 up 257 days, 16:06,  0 users,  load average: 14.05, 32.07, 31.19\n'}}
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.721073,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.707993,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.702635,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.708345,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.70663,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.703294,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.705581,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.708457,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.705851,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.707125,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.714985,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.704928,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.7087,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.703988,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.706375,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.707247,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.713082,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.707135,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.698865,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.697851,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.70022,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.695624,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.696958,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.715881,1357
OF,reference,BiCGStab,none,25,1,ec8edb4cf7eaebdff9c0e03689e09936,0.278302,0.702558,1357
