backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,CG,DIC,25,1,0.222662,0.382643,518
OF,reference,CG,DIC,25,1,0.222662,0.398445,518
OF,reference,CG,DIC,25,1,0.222662,0.385466,518
OF,reference,CG,DIC,25,1,0.222662,0.386101,518
OF,reference,CG,DIC,25,1,0.222662,0.393209,518
OF,reference,CG,DIC,25,1,0.222662,0.392785,518
OF,reference,CG,DIC,25,1,0.222662,0.387706,518
OF,reference,CG,DIC,25,1,0.222662,0.392322,518
OF,reference,CG,DIC,25,1,0.222662,0.385724,518
OF,reference,CG,DIC,25,1,0.222662,0.39398,518
OF,reference,CG,DIC,25,1,0.222662,0.392473,518
OF,reference,CG,DIC,25,1,0.222662,0.398278,518
OF,reference,CG,DIC,25,1,0.222662,0.393552,518
OF,reference,CG,DIC,25,1,0.222662,0.391163,518
OF,reference,CG,DIC,25,1,0.222662,0.382473,518
OF,reference,CG,DIC,25,1,0.222662,0.39354,518
OF,reference,CG,DIC,25,1,0.222662,0.398081,518
OF,reference,CG,DIC,25,1,0.222662,0.389467,518
OF,reference,CG,DIC,25,1,0.222662,0.388259,518
OF,reference,CG,DIC,25,1,0.222662,0.384233,518
OF,reference,CG,DIC,25,1,0.222662,0.393859,518
OF,reference,CG,DIC,25,1,0.222662,0.389386,518
OF,reference,CG,DIC,25,1,0.222662,0.383535,518
OF,reference,CG,DIC,25,1,0.222662,0.383657,518
OF,reference,CG,DIC,25,1,0.222662,0.38488,518
OF,reference,CG,DIC,25,1,0.222662,0.389276,518
OF,reference,CG,DIC,25,1,0.222662,0.392351,518
OF,reference,CG,DIC,25,1,0.222662,0.385718,518
OF,reference,CG,DIC,25,1,0.222662,0.384988,518
OF,reference,CG,DIC,25,1,0.222662,0.391716,518
OF,reference,CG,DIC,25,1,0.222662,0.393546,518
OF,reference,CG,DIC,25,1,0.222662,0.384771,518
OF,reference,CG,DIC,25,1,0.222662,0.396342,518
OF,reference,CG,DIC,25,1,0.222662,0.386356,518
OF,reference,CG,DIC,25,1,0.222662,0.382416,518
OF,reference,CG,DIC,25,1,0.222662,0.391261,518
OF,reference,CG,DIC,25,1,0.222662,0.390708,518
OF,reference,CG,DIC,25,1,0.222662,0.388337,518
OF,reference,CG,DIC,25,1,0.222662,0.389066,518
OF,reference,CG,DIC,25,1,0.222662,0.386338,518
OF,reference,CG,DIC,25,1,0.222662,0.391959,518
OF,reference,CG,DIC,25,1,0.222662,0.391986,518
OF,reference,CG,DIC,25,1,0.222662,0.392772,518
OF,reference,CG,DIC,25,1,0.222662,0.390416,518
OF,reference,CG,DIC,25,1,0.222662,0.384126,518
OF,reference,CG,DIC,25,1,0.222662,0.383491,518
OF,reference,CG,DIC,25,1,0.222662,0.383642,518
OF,reference,CG,DIC,25,1,0.222662,0.389909,518
OF,reference,CG,DIC,25,1,0.222662,0.394582,518
OF,reference,CG,DIC,25,1,0.222662,0.388776,518
OF,reference,CG,DIC,25,1,0.222662,0.386487,518
OF,reference,CG,DIC,25,1,0.222662,0.38383,518
OF,reference,CG,DIC,25,1,0.222662,0.390882,518
OF,reference,CG,DIC,25,1,0.222662,0.385686,518
OF,reference,CG,DIC,25,1,0.222662,0.385809,518
OF,reference,CG,DIC,25,1,0.222662,0.383989,518
