backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n395.localdomain\n', 'uptime': ' 14:47:00 up 255 days, 10:44,  0 users,  load average: 15.19, 59.11, 75.22\n'}}
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389205,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389871,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.393177,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.38751,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388376,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.39048,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389022,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.390136,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388876,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389084,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389228,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.391447,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.392181,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.39179,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389319,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388066,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387928,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.392979,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388211,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387068,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.386622,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.385922,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388735,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387218,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.385765,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389403,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387705,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.391306,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389624,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388637,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387608,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387674,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389088,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387297,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.392307,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389536,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.385796,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.394213,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389445,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.391034,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.394597,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.392907,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389531,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.390675,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387054,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.391252,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388226,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388253,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387992,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.392246,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.392006,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.395587,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.397867,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.39102,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.387562,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389244,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.390804,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.388853,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.394747,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.386281,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.386465,518
OF,reference,CG,DIC,25,1,ed75194955adfb5fb56dc92213551abe,0.211586,0.389103,518
