backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n538.localdomain\n', 'uptime': ' 01:45:14 up 255 days,  5:19,  0 users,  load average: 0.63, 1.21, 9.55\n'}}
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.396218,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.386024,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.379643,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.380411,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.383805,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.379524,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.379242,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.380451,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.381909,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.378148,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.378338,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.380318,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.379858,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.379977,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.376662,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.378441,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.382751,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.386962,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.378212,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.379769,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.391523,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.389367,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.385216,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.380461,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.383412,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.383626,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.377584,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.383445,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.382768,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.38033,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.383265,518
OF,reference,CG,DIC,25,1,fe4ee89547e7982e28d5f4ad132e7431,0.208032,0.383701,518
