backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,CG,none,25,1,0.238189,0.506972,1669
OF,reference,CG,none,25,1,0.238189,0.525876,1669
OF,reference,CG,none,25,1,0.238189,0.506802,1669
OF,reference,CG,none,25,1,0.238189,0.504453,1669
OF,reference,CG,none,25,1,0.238189,0.508541,1669
OF,reference,CG,none,25,1,0.238189,0.506167,1669
OF,reference,CG,none,25,1,0.238189,0.509315,1669
OF,reference,CG,none,25,1,0.238189,0.508735,1669
OF,reference,CG,none,25,1,0.238189,0.509886,1669
OF,reference,CG,none,25,1,0.238189,0.508202,1669
OF,reference,CG,none,25,1,0.238189,0.505254,1669
OF,reference,CG,none,25,1,0.238189,0.511481,1669
OF,reference,CG,none,25,1,0.238189,0.505465,1669
OF,reference,CG,none,25,1,0.238189,0.505134,1669
OF,reference,CG,none,25,1,0.238189,0.508732,1669
OF,reference,CG,none,25,1,0.238189,0.507778,1669
OF,reference,CG,none,25,1,0.238189,0.508745,1669
OF,reference,CG,none,25,1,0.238189,0.509351,1669
OF,reference,CG,none,25,1,0.238189,0.509281,1669
OF,reference,CG,none,25,1,0.238189,0.510447,1669
OF,reference,CG,none,25,1,0.238189,0.507118,1669
OF,reference,CG,none,25,1,0.238189,0.509876,1669
OF,reference,CG,none,25,1,0.238189,0.508208,1669
OF,reference,CG,none,25,1,0.238189,0.506419,1669
OF,reference,CG,none,25,1,0.238189,0.505663,1669
OF,reference,CG,none,25,1,0.238189,0.512974,1669
OF,reference,CG,none,25,1,0.238189,0.511469,1669
OF,reference,CG,none,25,1,0.238189,0.50616,1669
OF,reference,CG,none,25,1,0.238189,0.509217,1669
OF,reference,CG,none,25,1,0.238189,0.50855,1669
OF,reference,CG,none,25,1,0.238189,0.509894,1669
OF,reference,CG,none,25,1,0.238189,0.508722,1669
OF,reference,CG,none,25,1,0.238189,0.508291,1669
OF,reference,CG,none,25,1,0.238189,0.50748,1669
OF,reference,CG,none,25,1,0.238189,0.504123,1669
OF,reference,CG,none,25,1,0.238189,0.508816,1669
OF,reference,CG,none,25,1,0.238189,0.507331,1669
OF,reference,CG,none,25,1,0.238189,0.504925,1669
OF,reference,CG,none,25,1,0.238189,0.511542,1669
OF,reference,CG,none,25,1,0.238189,0.508293,1669
OF,reference,CG,none,25,1,0.238189,0.503591,1669
OF,reference,CG,none,25,1,0.238189,0.509294,1669
OF,reference,CG,none,25,1,0.238189,0.510349,1669
OF,reference,CG,none,25,1,0.238189,0.505405,1669
OF,reference,CG,none,25,1,0.238189,0.507874,1669
OF,reference,CG,none,25,1,0.238189,0.51122,1669
OF,reference,CG,none,25,1,0.238189,0.508795,1669
OF,reference,CG,none,25,1,0.238189,0.507553,1669
OF,reference,CG,none,25,1,0.238189,0.510242,1669
OF,reference,CG,none,25,1,0.238189,0.511376,1669
OF,reference,CG,none,25,1,0.238189,0.509362,1669
OF,reference,CG,none,25,1,0.238189,0.50882,1669
OF,reference,CG,none,25,1,0.238189,0.507589,1669
OF,reference,CG,none,25,1,0.238189,0.511093,1669
OF,reference,CG,none,25,1,0.238189,0.506978,1669
OF,reference,CG,none,25,1,0.238189,0.507521,1669
OF,reference,CG,none,25,1,0.238189,0.506341,1669
OF,reference,CG,none,25,1,0.238189,0.506597,1669
OF,reference,CG,none,25,1,0.238189,0.506917,1669
OF,reference,CG,none,25,1,0.238189,0.506453,1669
OF,reference,CG,none,25,1,0.238189,0.508639,1669
OF,reference,CG,none,25,1,0.238189,0.509873,1669
OF,reference,CG,none,25,1,0.238189,0.507332,1669
OF,reference,CG,none,25,1,0.238189,0.506973,1669
