backend,executor,solver_p,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n476.localdomain\n', 'uptime': ' 13:31:58 up 252 days, 10 min,  0 users,  load average: 20.92, 64.12, 77.37\n'}}
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.506203,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.522111,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.503981,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.509392,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.502697,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.503093,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.502262,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.503249,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.508678,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.510894,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.514459,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.508407,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.505357,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.503031,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.505445,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.513,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.508971,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.503371,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.508852,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.511994,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.507955,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.505342,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.504297,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.505217,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.510708,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.514292,1669
OF,reference,CG,none,25,1,f9ef524665c9e0110e8ca6f296bff164,0.236752,0.511319,1669
