backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
OF,reference,CG,DIC,25,1,0.214797,0.390095,518
OF,reference,CG,DIC,25,1,0.214797,0.39562,518
OF,reference,CG,DIC,25,1,0.214797,0.388257,518
OF,reference,CG,DIC,25,1,0.214797,0.393959,518
OF,reference,CG,DIC,25,1,0.214797,0.396088,518
OF,reference,CG,DIC,25,1,0.214797,0.404786,518
OF,reference,CG,DIC,25,1,0.214797,0.395305,518
OF,reference,CG,DIC,25,1,0.214797,0.39064,518
OF,reference,CG,DIC,25,1,0.214797,0.395068,518
OF,reference,CG,DIC,25,1,0.214797,0.398145,518
OF,reference,CG,DIC,25,1,0.214797,0.39123,518
OF,reference,CG,DIC,25,1,0.214797,0.393154,518
OF,reference,CG,DIC,25,1,0.214797,0.396256,518
OF,reference,CG,DIC,25,1,0.214797,0.393835,518
OF,reference,CG,DIC,25,1,0.214797,0.396481,518
OF,reference,CG,DIC,25,1,0.214797,0.393615,518
OF,reference,CG,DIC,25,1,0.214797,0.395676,518
OF,reference,CG,DIC,25,1,0.214797,0.391702,518
OF,reference,CG,DIC,25,1,0.214797,0.396694,518
OF,reference,CG,DIC,25,1,0.214797,0.396606,518
OF,reference,CG,DIC,25,1,0.214797,0.389317,518
OF,reference,CG,DIC,25,1,0.214797,0.395335,518
OF,reference,CG,DIC,25,1,0.214797,0.390921,518
OF,reference,CG,DIC,25,1,0.214797,0.398334,518
OF,reference,CG,DIC,25,1,0.214797,0.394924,518
OF,reference,CG,DIC,25,1,0.214797,0.393431,518
OF,reference,CG,DIC,25,1,0.214797,0.398632,518
OF,reference,CG,DIC,25,1,0.214797,0.389873,518
OF,reference,CG,DIC,25,1,0.214797,0.394168,518
OF,reference,CG,DIC,25,1,0.214797,0.396255,518
OF,reference,CG,DIC,25,1,0.214797,0.400699,518
OF,reference,CG,DIC,25,1,0.214797,0.394478,518
OF,reference,CG,DIC,25,1,0.214797,0.391619,518
OF,reference,CG,DIC,25,1,0.214797,0.390509,518
OF,reference,CG,DIC,25,1,0.214797,0.390614,518
OF,reference,CG,DIC,25,1,0.214797,0.389227,518
OF,reference,CG,DIC,25,1,0.214797,0.398442,518
OF,reference,CG,DIC,25,1,0.214797,0.397691,518
OF,reference,CG,DIC,25,1,0.214797,0.392211,518
OF,reference,CG,DIC,25,1,0.214797,0.390633,518
OF,reference,CG,DIC,25,1,0.214797,0.396996,518
OF,reference,CG,DIC,25,1,0.214797,0.395873,518
OF,reference,CG,DIC,25,1,0.214797,0.391596,518
OF,reference,CG,DIC,25,1,0.214797,0.395543,518
