backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
OF,reference,CG,none,25,1,0.247664,0.506855,1669
OF,reference,CG,none,25,1,0.247664,0.515526,1669
OF,reference,CG,none,25,1,0.247664,0.514253,1669
OF,reference,CG,none,25,1,0.247664,0.506517,1669
OF,reference,CG,none,25,1,0.247664,0.509023,1669
OF,reference,CG,none,25,1,0.247664,0.509778,1669
OF,reference,CG,none,25,1,0.247664,0.50592,1669
OF,reference,CG,none,25,1,0.247664,0.507041,1669
OF,reference,CG,none,25,1,0.247664,0.51186,1669
OF,reference,CG,none,25,1,0.247664,0.501955,1669
OF,reference,CG,none,25,1,0.247664,0.510394,1669
OF,reference,CG,none,25,1,0.247664,0.511947,1669
OF,reference,CG,none,25,1,0.247664,0.516241,1669
OF,reference,CG,none,25,1,0.247664,0.51017,1669
OF,reference,CG,none,25,1,0.247664,0.503193,1669
OF,reference,CG,none,25,1,0.247664,0.501887,1669
OF,reference,CG,none,25,1,0.247664,0.50157,1669
OF,reference,CG,none,25,1,0.247664,0.503267,1669
OF,reference,CG,none,25,1,0.247664,0.503532,1669
OF,reference,CG,none,25,1,0.247664,0.502771,1669
OF,reference,CG,none,25,1,0.247664,0.500393,1669
OF,reference,CG,none,25,1,0.247664,0.512425,1669
OF,reference,CG,none,25,1,0.247664,0.511016,1669
OF,reference,CG,none,25,1,0.247664,0.512691,1669
OF,reference,CG,none,25,1,0.247664,0.502242,1669
OF,reference,CG,none,25,1,0.247664,0.501966,1669
OF,reference,CG,none,25,1,0.247664,0.502368,1669
OF,reference,CG,none,25,1,0.247664,0.503092,1669
OF,reference,CG,none,25,1,0.247664,0.504042,1669
OF,reference,CG,none,25,1,0.247664,0.504921,1669
OF,reference,CG,none,25,1,0.247664,0.510999,1669
OF,reference,CG,none,25,1,0.247664,0.510023,1669
OF,reference,CG,none,25,1,0.247664,0.505395,1669
OF,reference,CG,none,25,1,0.247664,0.516514,1669
OF,reference,CG,none,25,1,0.247664,0.509572,1669
OF,reference,CG,none,25,1,0.247664,0.512585,1669
OF,reference,CG,none,25,1,0.247664,0.508563,1669
OF,reference,CG,none,25,1,0.247664,0.501482,1669
OF,reference,CG,none,25,1,0.247664,0.50995,1669
OF,reference,CG,none,25,1,0.247664,0.510346,1669
OF,reference,CG,none,25,1,0.247664,0.506175,1669
OF,reference,CG,none,25,1,0.247664,0.507572,1669
OF,reference,CG,none,25,1,0.247664,0.513982,1669
OF,reference,CG,none,25,1,0.247664,0.513594,1669
OF,reference,CG,none,25,1,0.247664,0.509741,1669
OF,reference,CG,none,25,1,0.247664,0.503909,1669
OF,reference,CG,none,25,1,0.247664,0.501623,1669
OF,reference,CG,none,25,1,0.247664,0.504049,1669
OF,reference,CG,none,25,1,0.247664,0.501573,1669
OF,reference,CG,none,25,1,0.247664,0.503021,1669
OF,reference,CG,none,25,1,0.247664,0.503086,1669
OF,reference,CG,none,25,1,0.247664,0.501704,1669
OF,reference,CG,none,25,1,0.247664,0.508202,1669
OF,reference,CG,none,25,1,0.247664,0.532841,1669
OF,reference,CG,none,25,1,0.247664,0.597015,1669
OF,reference,CG,none,25,1,0.247664,0.503931,1669
OF,reference,CG,none,25,1,0.247664,0.50163,1669
OF,reference,CG,none,25,1,0.247664,0.504976,1669
OF,reference,CG,none,25,1,0.247664,0.503431,1669
OF,reference,CG,none,25,1,0.247664,0.501429,1669
OF,reference,CG,none,25,1,0.247664,0.504595,1669
OF,reference,CG,none,25,1,0.247664,0.508433,1669
OF,reference,CG,none,25,1,0.247664,0.5084,1669
OF,reference,CG,none,25,1,0.247664,0.501978,1669
OF,reference,CG,none,25,1,0.247664,0.51352,1669
OF,reference,CG,none,25,1,0.247664,0.507985,1669
OF,reference,CG,none,25,1,0.247664,0.503098,1669
OF,reference,CG,none,25,1,0.247664,0.511795,1669
OF,reference,CG,none,25,1,0.247664,0.512299,1669
OF,reference,CG,none,25,1,0.247664,0.505947,1669
OF,reference,CG,none,25,1,0.247664,0.510818,1669
OF,reference,CG,none,25,1,0.247664,0.513588,1669
OF,reference,CG,none,25,1,0.247664,0.508612,1669
OF,reference,CG,none,25,1,0.247664,0.508349,1669
OF,reference,CG,none,25,1,0.247664,0.513761,1669
OF,reference,CG,none,25,1,0.247664,0.513318,1669
OF,reference,CG,none,25,1,0.247664,0.514042,1669
OF,reference,CG,none,25,1,0.247664,0.503317,1669
OF,reference,CG,none,25,1,0.247664,0.501093,1669
OF,reference,CG,none,25,1,0.247664,0.503507,1669
OF,reference,CG,none,25,1,0.247664,0.504545,1669
OF,reference,CG,none,25,1,0.247664,0.503473,1669
OF,reference,CG,none,25,1,0.247664,0.500845,1669
OF,reference,CG,none,25,1,0.247664,0.50324,1669
OF,reference,CG,none,25,1,0.247664,0.510516,1669
OF,reference,CG,none,25,1,0.247664,0.512793,1669
OF,reference,CG,none,25,1,0.247664,0.512402,1669
OF,reference,CG,none,25,1,0.247664,0.504859,1669
OF,reference,CG,none,25,1,0.247664,0.502173,1669
OF,reference,CG,none,25,1,0.247664,0.504861,1669
OF,reference,CG,none,25,1,0.247664,0.502268,1669
OF,reference,CG,none,25,1,0.247664,0.50667,1669
OF,reference,CG,none,25,1,0.247664,0.510746,1669
OF,reference,CG,none,25,1,0.247664,0.512217,1669
OF,reference,CG,none,25,1,0.247664,0.504296,1669
OF,reference,CG,none,25,1,0.247664,0.51512,1669
OF,reference,CG,none,25,1,0.247664,0.509042,1669
OF,reference,CG,none,25,1,0.247664,0.505633,1669
OF,reference,CG,none,25,1,0.247664,0.507064,1669
OF,reference,CG,none,25,1,0.247664,0.511088,1669
OF,reference,CG,none,25,1,0.247664,0.503837,1669
OF,reference,CG,none,25,1,0.247664,0.510751,1669
OF,reference,CG,none,25,1,0.247664,0.511021,1669
OF,reference,CG,none,25,1,0.247664,0.507712,1669
OF,reference,CG,none,25,1,0.247664,0.512308,1669
OF,reference,CG,none,25,1,0.247664,0.513343,1669
OF,reference,CG,none,25,1,0.247664,0.524309,1669
OF,reference,CG,none,25,1,0.247664,0.509312,1669
OF,reference,CG,none,25,1,0.247664,0.504914,1669
OF,reference,CG,none,25,1,0.247664,0.502571,1669
OF,reference,CG,none,25,1,0.247664,0.501027,1669
OF,reference,CG,none,25,1,0.247664,0.501606,1669
OF,reference,CG,none,25,1,0.247664,0.502864,1669
OF,reference,CG,none,25,1,0.247664,0.500747,1669
OF,reference,CG,none,25,1,0.247664,0.503429,1669
OF,reference,CG,none,25,1,0.247664,0.507471,1669
OF,reference,CG,none,25,1,0.247664,0.513162,1669
OF,reference,CG,none,25,1,0.247664,0.510229,1669
OF,reference,CG,none,25,1,0.247664,0.503705,1669
OF,reference,CG,none,50,1,1.837558,6.834814,3424
OF,reference,CG,none,50,1,1.837558,6.860292,3424
OF,reference,CG,none,50,1,1.837558,6.934163,3424
OF,reference,CG,none,50,1,1.837558,6.868824,3424
OF,reference,CG,none,50,1,1.837558,6.866723,3424
OF,reference,CG,none,50,1,1.837558,6.846726,3424
OF,reference,CG,none,50,1,1.837558,6.85547,3424
OF,reference,CG,none,50,1,1.837558,6.870056,3424
OF,reference,CG,none,50,1,1.837558,6.847502,3424
OF,reference,CG,none,75,1,8.809508,36.338591,5199
OF,reference,CG,none,75,1,8.809508,36.930242,5199
