backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.498749,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.503387,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.504118,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.499985,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.512271,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.501784,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.496483,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.494102,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.499991,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.500098,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.501678,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.519211,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.494513,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.158267,4.496758,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.743541,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.955009,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.912011,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.773084,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.73654,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.900996,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.89309,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.723879,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.72463,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.856342,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.877428,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.72106,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.760478,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.944397,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.767379,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.931498,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.919575,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.906813,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.90378,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.881028,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.762682,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.803752,2.764535,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.981905,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.970471,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.985088,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,2.037345,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.947716,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.99725,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.996362,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.966256,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.99313,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.997064,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.973051,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.958532,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.96328,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.974,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,2.207822,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,2.046758,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.96953,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.989858,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.982395,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.993273,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.968648,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.966145,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.98026,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.977609,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.985196,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.966431,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,2.004305,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.967955,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,1.973478,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,2.061829,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.622376,2.083205,1192
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.576538,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.57361,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.591665,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.564854,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.54982,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.599497,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.577702,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.575519,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.560771,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.586649,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.573924,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.60437,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.579134,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.596858,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.613638,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.552755,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.59907,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.586012,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.646422,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.64545,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.585202,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.562456,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.571942,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.57761,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.548582,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.583149,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.567196,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.58178,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.571928,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.587893,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.587624,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.590675,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.569872,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.571376,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.568165,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.571862,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.602174,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,8,0.53301,1.541244,1190
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.65307,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.623006,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.609927,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.654441,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.652896,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.675023,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.576696,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.626003,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.679066,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.626658,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.574487,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.566908,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.621304,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.569236,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.605496,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.66284,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.65032,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.601925,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.592961,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.661597,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.649285,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.59636,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.561217,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.598546,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.656086,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.580677,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.634463,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.566507,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.570541,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.612964,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.608534,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.613872,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.582289,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.540795,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.58096,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.588498,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.583085,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,16,0.542258,1.62517,1181
GKO,omp,BiCGStab,BiCGStab,BJ,25,32,0.601078,1.671474,1173
GKO,omp,BiCGStab,BiCGStab,BJ,25,32,0.601078,1.768744,1173
