backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.131193,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.129397,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.11233,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.110753,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.102279,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.098052,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.140704,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.157256,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.127784,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.099887,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.098822,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,1.26283,5.102844,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.343383,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.161969,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.155183,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.402843,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.385463,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.361027,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.344467,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.344095,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.371102,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.168832,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.379856,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.363442,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.16546,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.182391,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.385268,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.387165,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.344626,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.217907,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,0.85447,3.185575,1397
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.261492,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.283224,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.264795,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.297389,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.255492,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.238184,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.262478,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.271085,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.239224,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.279246,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.273282,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.257387,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.230596,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.288812,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.258794,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.211741,1414
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,0.659505,2.265577,1414
