backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': False}, 'node_data': {'host': 'uc2n445.localdomain\n', 'uptime': ' 13:13:24 up 251 days,  4:00,  0 users,  load average: 22.66, 64.16, 77.11\n'}}
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.494929,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.498558,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.501245,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.509922,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.519149,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.502255,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.501909,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.502572,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.498759,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.4926,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.499012,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.506474,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.5018,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,95a11e8eb96695bcb450dc4b1f91249e,1.151484,4.506206,1203
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,9b50a06335324dde3cf0d4c8161f287d,0.803265,2.763941,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,9b50a06335324dde3cf0d4c8161f287d,0.803265,2.749376,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,9b50a06335324dde3cf0d4c8161f287d,0.803265,2.73819,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,9b50a06335324dde3cf0d4c8161f287d,0.803265,2.763477,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,9b50a06335324dde3cf0d4c8161f287d,0.803265,2.932935,1196
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,9b50a06335324dde3cf0d4c8161f287d,0.803265,2.935691,1196
