backend,executor,solver_p,solver_U,preconditioner,resolution,processes,log_id,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.2', 'case': {'renumbered': True}, 'node_data': {'host': 'uc2n398.localdomain\n', 'uptime': ' 01:41:06 up 257 days, 10:27,  0 users,  load average: 7.93, 34.77, 31.76\n'}}
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.11018,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.106187,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.116842,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.10682,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.104739,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.103913,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.105808,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.108445,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.117179,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.110684,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.107196,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,1,a4511214499526ec269d2d633f767ec3,1.258036,5.104854,1370
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.177874,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.341663,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.328909,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.186731,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.328694,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.351836,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.217496,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.198535,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.342068,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.393871,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.173887,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.175077,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.170673,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.338803,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.311399,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.181609,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.157941,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.161486,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,2,70af5abd17c1be5693a013cacb98180d,0.841499,3.176109,1416
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.244855,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.252081,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.254319,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.246539,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.254786,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.256839,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.225883,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.253564,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.241622,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.218205,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.247777,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.26744,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.25565,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.273963,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.24951,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.26795,1413
GKO,omp,BiCGStab,BiCGStab,BJ,25,4,53d1d4a0caecea32d7c210ac052accdd,0.650971,2.262534,1413
