backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.681441,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.722019,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.719936,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.701312,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.732306,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.716668,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.732407,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.71039,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.717719,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.712762,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.710945,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.700175,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.719247,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.703887,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.736785,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.717372,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.717093,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.723063,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.712372,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.706981,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.728804,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.719546,1725
GKO,omp,BiCGStab,BiCGStab,none,25,1,0.71756,2.645655,1725
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.182797,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.186397,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.194713,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.153312,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.211125,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.18537,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.169941,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,1.923838,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.177697,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.165448,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.181518,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.208255,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.18019,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.171678,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,1.946416,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,1.916864,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.170329,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.176666,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,1.939587,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.122156,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.154591,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,1.9514,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.181378,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.11282,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.171131,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.180796,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,1.922357,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.185828,1752
GKO,omp,BiCGStab,BiCGStab,none,25,2,0.579785,2.173777,1752
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.702969,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.764314,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.739108,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.73648,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.728782,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.736874,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.730578,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.725795,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.738347,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.72215,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.724327,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.756711,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.75017,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.753293,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.740012,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.733621,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.765504,1738
GKO,omp,BiCGStab,BiCGStab,none,25,4,0.513712,1.713962,1738
