backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.661453,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.676022,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.676053,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.678141,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.672587,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.683892,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.674808,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.682217,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.678504,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.673795,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.677563,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.67635,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.679895,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.672898,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.665868,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.68184,1681
GKO,omp,CG,BiCGStab,BJ,25,1,0.909512,3.679609,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.464525,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.510766,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.324324,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.322867,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.337373,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.397975,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.399872,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.502671,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.499511,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.487098,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.326923,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.521561,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.482745,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.327028,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.492739,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.316458,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.329589,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.491717,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.333051,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.484437,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.327704,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.485741,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.51214,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.319143,1681
GKO,omp,CG,BiCGStab,BJ,25,2,0.674212,2.527608,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.702848,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.721319,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.726756,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.720858,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.728954,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.731688,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.744417,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.719689,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.727578,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.712619,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.73735,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.729535,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.718575,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.725279,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.73271,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.717251,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.728057,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.728224,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.716325,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.72813,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.710395,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.716885,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.730933,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.711738,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.73297,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.750183,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.730007,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.733452,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.720538,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.72353,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.728323,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.726916,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.725561,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.733824,1681
GKO,omp,CG,BiCGStab,BJ,25,4,0.542617,1.712244,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.396308,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.389574,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.38783,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.385381,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.394381,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.395137,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.382839,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.403596,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.334069,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.393458,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.373187,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.379896,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.417469,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.408316,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.419965,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.36159,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.408216,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.359803,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.373387,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.389152,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.363616,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.38517,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.371577,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.376726,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.368538,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.366138,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.390337,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.404304,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.341467,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.347451,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.379617,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.35326,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.385885,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.359467,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.350836,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.37269,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.361188,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.371515,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.357737,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.421796,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.373385,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.378424,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.385662,1681
GKO,omp,CG,BiCGStab,BJ,25,8,0.474295,1.37038,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.415614,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.411379,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.476961,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.473398,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.393193,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.625236,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.485963,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.375585,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.431495,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.366783,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.352341,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.470406,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.473101,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.404582,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.468252,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.477604,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.39457,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.436325,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.40761,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.379664,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.440605,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.395452,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.362719,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.43903,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.401771,1681
GKO,omp,CG,BiCGStab,BJ,25,16,0.487442,1.48661,1681
